Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"After enabled maintainer approval in a repo, some pull requests are not updated",SKARA-2049,5111430,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-09-28 10:56,2023-09-28 14:22,2023-10-01 09:55,2023-09-28 14:22,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"Today, I enabled maintainer approval feature in openjdk/jdk8u-dev.

After we enabled this feature, we expect to see the progress like ""JDK-XXXXXXX needs maintainer approval"" in the pr body.

However, this pr(https://github.com/openjdk/jdk8u-dev/pull/368) is not updated.

The reason is that although after we enabled the maintainer approval feature, the issue labels will be calculated in the issueMetaData, there still exists some issues that doesn't contain any label.

To solve this, I think we could add a string ""approval"" to issueMetaData after we enabled the maintainer approval.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i33bcr:",9223372036854775807,,,,,,,,,,,,"2023-09-28 11:04;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1563
Date: 2023-09-28 17:58:34 +0000;;;","2023-09-28 14:22;roboduke;Changeset: be89a78a
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-09-28 21:22:03 +0000
URL:       https://git.openjdk.org/skara/commit/be89a78a5ca9d5922021b67387894d7fd8a62fbb
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Make maintainer approval feature compatible with dependent pr feature.,SKARA-2045,5111268,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-09-27 10:30,2023-09-29 12:14,2023-10-01 09:55,2023-09-29 12:14,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"A user reported that a dependent pr in a repo which configured with maintainer approval feature is not marked for approval.
https://github.com/openjdk/jdk21u/pull/200

After investigation, I realized that the skara bot would determine whether this pr needs maintainer approval by checking whether merging into the target branch needs maintainer approval.
 
In this case, we only configured that merging into master branch of jdk21u needs maintainer approval, however, for dependent pull requests, the target branch is pr/XXX.

To fix this issue, we should let the skara bot be able to find the real target ref.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i33acr:",9223372036854775807,,,,,,,,,,,,"2023-09-27 13:54;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1562
Date: 2023-09-27 19:50:25 +0000;;;","2023-09-29 12:14;roboduke;Changeset: ba26745a
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-09-29 19:14:05 +0000
URL:       https://git.openjdk.org/skara/commit/ba26745a5e73aa6e15671d81704f53d5774299dd
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Skara mistakenly tagged the wrong commit when processing a /tag command,SKARA-2043,5111194,Bug,Resolved,SKARA,Skara,software,darcy,,,P2,Fixed,erikj,kcr,kcr,2023-09-27 06:44,2023-09-29 10:33,2023-10-01 09:55,2023-09-29 10:33,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"I tagged a commit in a stabilization branch, using the Skara '/tag' command as a commit comment, and it mistakenly tagged a different commit in the master branch instead.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i339wb:",9223372036854775807,,,,,,,,,,,,"2023-09-27 07:26;erikj;I tried to reproduce this in a debugger, but it's doing the right thing for these commit comments now. I suspect that this was caused by a glitch in GitLab.;;;","2023-09-27 08:01;kcr;I wondered if that might have been the case. We have occasionally seen such glitches, possibly due to a server side caching bug, where recent commits don't show up for some small period of time. I don't think we've ever been able to characterize these glitches.;;;","2023-09-27 09:31;erikj;That said, I have a theory on what could have caused this to happen and if that's the case (or close enough) there is something we can do.

To find recent commit comments, we list ""events"" for the repo, and filter for notes on commits. The note event has the comment body, author, timestamp and the commit title (but notably not the commit hash). To match that back to actual commits, we build a map using a local clone of the repo, from commit title to list of hashes with that title. When finding a note event and if that matches multiple possible commits, we go through each candidate commit and fetch the actual comments on each of them, and match those against the note event. The first match is taken and processed.

The problem I think we have is when only one commit candidate is found in the map. In that case we never verify if the commit actually has a comment matching the note event, we just shortcut and return the single candidate. I believe this could happen due to a race, and possibly made more likely by caching in Gitlab. The local repository is refreshed first, before we query for note events. This means a commit could theoretically be pushed and commented on after the repository is cloned/refreshed but before events are queried. In the particular case described here, it looks like the commit was pushed a few minutes before the bot started acting, but the comment was made close enough in time to maybe fall in between. If Gitlab was always presenting coherent and up to date data, this wouldn't have caused a problem.

I think the fix here is to remove the early return when there is only one candidate. We need to always verify that a suitable commit actually exists on the commit that was found through events. Specifically, the early return in GitLabRepository::commitWithComment should be removed. Not sure if we should throw exception in that method though.;;;","2023-09-27 12:43;erikj;Keeping this as P2. It's likely a rare occurrence, but when it happens it's severe. The wrong commit gets tagged.;;;","2023-09-27 16:25;zsong;And after we found the commit, we could use the 'note id' to double check whether the comment really belongs to the commit. But we need to make another request and I don't know whether it worth.;;;","2023-09-28 06:50;erikj;Not sure what you mean here. What ""note id"" are you referring to?;;;","2023-09-28 08:47;zsong;Sorry, I didn't state it clearly. 'note id' is the 'commitComment id'. And I just noticed you already mentioned this in your comment ""We need to always verify that a suitable commit actually exists on the commit that was found through events."";;;","2023-09-28 09:06;erikj;Have you looked at the GitLab APIs for commit comments? There is no ""id"" to very or compare against. That's why we have to resort to comparing author and createdAt instead. The event has a target_id, but this doesn't show up anywhere in either commits or commit comments. It's quite frustrating.;;;","2023-09-28 10:47;erikj;After offline discussion and investigation, we have concluded that there is an alternate API for ""discussions"" on a commit, which does return the comment ID for each discussion item. This makes it possible to connect event notes with commit comments via ID rather than matching author and create_at. I will use this to make the implementation for recentCommitComments a bit more robust.;;;","2023-09-28 11:18;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1564
Date: 2023-09-28 18:17:29 +0000;;;","2023-09-29 10:33;roboduke;Changeset: 439d2662
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2023-09-29 17:31:55 +0000
URL:       https://git.openjdk.org/skara/commit/439d26621820896e247803f59e388976b9e4b957
;;;",,,,,,,,,,,,,,,,
Don't post error message of invalid jcheck configuration when encountering UncheckedIOException,SKARA-2038,5110869,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-09-22 11:18,2023-09-22 14:32,2023-10-01 09:55,2023-09-22 14:32,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"In CheckWorkItem, the bot would check whether this pull request has valid jcheck configuration and if not, the bot would post an error message of invalid jcheck configuration in the pull request.

Today, a user reported that he saw this error message in his pull request and he couldn't determine whether the pull request is good. After reading the log, I found that it's just a temporary glitch.  The bot was trying to read jcheck configuration in GitHub but got HttpTimeoutException, so the bot posted the error message. But it recovers in the next try.
https://github.com/openjdk/panama-foreign/pull/893

To sum, in the cases of some temporary glitches, we shouldn't post error message to pull request to confuse users.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i337w3:",9223372036854775807,,,,,,,,,,,,"2023-09-22 12:41;erikj;Do you know what exception you get if the file doesn't exist?;;;","2023-09-22 12:45;zsong;If the file doesn't exist, the exception will be UncheckedRestException and the status code will be 404.
We already special handled this in HostedRepository#fileContents.;;;","2023-09-22 12:58;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1559
Date: 2023-09-22 18:30:04 +0000;;;","2023-09-22 14:32;roboduke;Changeset: f59da95a
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-09-22 21:31:34 +0000
URL:       https://git.openjdk.org/skara/commit/f59da95aa040dd02edd363686bacd0d66b19a0d5
;;;",,,,,,,,,,,,,,,,,,,,,,,
Change the order of bots in PullRequestBotFactory,SKARA-2037,5110800,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-09-21 13:54,2023-09-22 11:31,2023-10-01 09:55,2023-09-22 11:31,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"Today, when restarting the bot, I found that the IssueBot was down for a long time(about 30 minutes), and then I realized that in PullRequestBotFactory, we will create all pullRequestBot first, then CSRIssueBot, and IssueBots last.

After the bot is restarted, the botRunner would run all pullRequestBots first and we have a lot of pullRequestBots, so it will take a lot of time. And if users make changes to issues in JBS during this interval, the IssueBot may not be able to get all updated issues. It's really bad. 

To solve this problem, we could to reverse the order of bots in PullRequestBotFactory, therefore we could make sure IssueBot will be run firstly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i337gr:",9223372036854775807,,,,,,,,,,,,"2023-09-21 17:51;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1558
Date: 2023-09-21 21:16:17 +0000;;;","2023-09-22 11:31;roboduke;Changeset: 1da0b82b
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-09-22 18:30:43 +0000
URL:       https://git.openjdk.org/skara/commit/1da0b82b91d6ab3ba810b40a201d0f4dd41bb7b4
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Initial run of PR IssueBot misses issue updates,SKARA-2015,5109679,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,zsong,erikj,erikj,2023-09-05 14:04,2023-09-20 14:17,2023-10-01 09:55,2023-09-20 14:17,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"When the PR bot runner is restarted, the initial run of PullRequestBot polls all open PRs and 7 days of closed PRs, to make sure we process any updates that happened while the bot was down, and to make sure we process PRs with the potentially updated bot implementation. The CheckWorkItem tries to prevent re-evaluating PRs too much by storing a checksum of the last checked state in the PR itself on the forge. This state is split between PR state and (Jira) Issue state. Depending on which kind of Bot instance (Issue or PullRequest) that spawned the CheckWorkItem, only the relevant checksum is recalculated and compared. This selective checking is good for performance when the bot runner has reached steady state, but is the cause for missing Issue updates (or updates to Issue evaluation) when the bot runner is restarted. Only the PullRequestBot does the initial big poll of PRs, while the IssueBot only starts polling for current updates. This means that if an Issue was updated while the bot runner was restarting, CheckWorkItem won't compare the checksum for Issues in this first run.

I think we can solve this without too much trouble. In the initial run, PullRequestBot needs to make CheckWorkItem compare both checksums. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-2016,,,,SKARA-2013,,,,,,,,,,,,,,,,,,,,,,,,,"0|i330jv:",9223372036854775807,,,,,,,,,,,,"2023-09-05 14:05;erikj;Discovered this when investigating why SKARA-2013 wasn't marking existing PRs.;;;","2023-09-06 11:21;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1554
Date: 2023-09-06 18:19:19 +0000;;;","2023-09-20 14:17;roboduke;Changeset: ef81acbb
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-09-20 21:17:01 +0000
URL:       https://git.openjdk.org/skara/commit/ef81acbbe2cf97c6d56cc0b765e4b2bb9acc75a5
;;;",,,,,,,,,,,,,,,,,,,,,,,,
Handle both ignoreopt and matchprefix together in IssueNotifier,SKARA-2010,5109302,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,erikj,erikj,2023-08-30 09:30,2023-08-31 07:13,2023-10-01 09:55,2023-08-31 07:13,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"The two configuration options for tags in the IssueNotifier, ""ignoreopt"" and ""matchprefix"" do not work together if ""matchprefix"" is set to false (which is the default value). We need to configure a repository where the tag format and the fixVersion differ in both prefix and ""opt"" suffix, so this needs to be fixed.",,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32y83:",9223372036854775807,,,,,,,,,,,,"2023-08-30 12:40;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1551
Date: 2023-08-30 19:39:47 +0000;;;","2023-08-31 07:13;roboduke;Changeset: 1f6e3de8
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2023-08-31 14:12:49 +0000
URL:       https://git.openjdk.org/skara/commit/1f6e3de8e6a4f53852caa4b8bc7ee820fd47ae55
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Field 'groups' in Class GitLabHost should be 'List',SKARA-2004,5108797,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-08-24 09:03,2023-08-24 10:43,2023-10-01 09:55,2023-08-24 10:43,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"Currently, the field 'groups' in GitLabHost is a set. However, we would like the bot has some preference for some groups, so this field should be able to keep the order.

The solution is to change this field to List.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32v3v:",9223372036854775807,,,,,,,,,,,,"2023-08-24 09:19;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1550
Date: 2023-08-24 16:10:19 +0000;;;","2023-08-24 10:43;roboduke;Changeset: 844337a9
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-08-24 17:42:03 +0000
URL:       https://git.openjdk.org/skara/commit/844337a9944d615ad3b24c73189ab10ab06a7afa
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Timing out lock in RestRequestCache stops the bot,SKARA-2003,5108723,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,erikj,erikj,2023-08-23 07:29,2023-09-12 10:42,2023-10-01 09:55,2023-09-12 10:42,,,,,,,,1.0,admin,,0,,,,,,,,,,,,,,,,,,,,"In RestRequestCache, there is a lock to prevent concurrent calls to services like github. This lock has a hard coded timeout of 10 minutes and if that ever hits, it calls System.exit(1). I think this is a bit drastic, especially since the intention of this action isn't logged, just printed to stderr.

I think a more appropriate action would be to throw an exception. The exception would then be logged SEVERE automatically by the BotRunner.

Last night the mlbridge bot exited because of this.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32unf:",9223372036854775807,,,,,,,,,,,,"2023-09-06 14:21;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1555
Date: 2023-09-06 21:15:28 +0000;;;","2023-09-12 10:42;roboduke;Changeset: 07dde6d6
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-09-12 17:41:48 +0000
URL:       https://git.openjdk.org/skara/commit/07dde6d63d49cf29b68e46135af4d27af0b8c332
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
GitToHgConverter fails on merge with ancestor,SKARA-2002,5108649,Bug,Resolved,SKARA,Skara,software,darcy,,,P2,Fixed,erikj,erikj,erikj,2023-08-22 14:53,2023-08-23 06:43,2023-10-01 09:55,2023-08-23 06:43,,,,,,,,1.0,libraries,,0,,,,,,,,,,,,,,,,,,,,"Sometimes through weird circumstances we can end up with Git repositories where merges between a commit and an ancestor to that commit. Converting such a commit to Mercurial can be tricky, and in one case we are currently failing.

The GitToHgConverter is already trying to solve this issue, but only detects the ancestor relationship in one direction between the commits to be merged, and not the other. Specifically if the first parent is an ancestor of the second parent, the conversion will identify the situation and apply the workaround. But, if instead the second parent is an ancestor of first parent, it's not detected. The first case is quite commonly achieved by merging in a branch using --no-ff, but the second seems rarer.

I think the same workaround can be applied regardless of the direction of this relationship and that should solve the issue we are currently facing with one of our conversion jobs.",,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32u6z:",9223372036854775807,,,,,,,,,,,,"2023-08-22 16:25;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1549
Date: 2023-08-22 23:24:46 +0000;;;","2023-08-23 06:43;roboduke;Changeset: 67d9f091
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2023-08-23 13:41:38 +0000
URL:       https://git.openjdk.org/skara/commit/67d9f09103f46d751b833f25237ca9b4ea35e839
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
