Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"Skara sometimes puts two copies of ""BUGID: TITLE"" in commit message",SKARA-1981,5107035,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,kcr,kcr,2023-07-31 15:07,2023-08-09 09:47,2023-10-01 09:55,2023-08-09 09:47,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,"To reproduce:

Create a PR that targets the wrong bug ID, for example, a Backport record instead of the main bug. Now do the following:


1. Add the correct issue as an additional issue solved by this PR using `/issue add`
2. Wait for Skara to add the issue
3. Change the title of the PR to use that bug ID

BUG: Skara will list the BUGID: TITLE line twice in the commit message

NOTE: Normally one would just change the title to refer to the new bug (i.e., skipping steps 1-2). There is no need to use the `/issue add` command, but Skara should still ensure that it removes the additional issue when that issue becomes the primary bug ID.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32k8b:",9223372036854775807,,,,,,,,,,,,"2023-07-31 15:09;kcr;Here is a PR that shows the problem:

https://github.com/openjdk/playground/pull/159

Note that if the issue title already refers to the issue in question, a subsequent `/issue add` with that issue ID will not result in two copies. In that ordering of operations, Skara correctly detects this case and avoids the duplicate. See https://github.com/openjdk/playground/pull/160 for this (non-failing) case.;;;","2023-08-08 14:34;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1538
Date: 2023-08-01 19:54:58 +0000;;;","2023-08-09 09:47;roboduke;Changeset: be28b1ca
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-08-09 16:46:21 +0000
URL:       https://git.openjdk.org/skara/commit/be28b1cab2024cacaaef7dd9a9c698b456ffd05a
;;;",,,,,,,,,,,,,,,,,,,,
MailingListNotifier will not send an email notification when the first branch of some repos is created,SKARA-1979,5106813,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-07-27 11:16,2023-08-09 13:04,2023-10-01 09:55,2023-08-09 13:03,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,"A Leyden committer created a new branch (pregenerate-lambdas) and pushed to it, but skara bot didn't sent email notification to  leyden-dev@openjdk.org.

After investigating, I found the reason is that in the configuration of NotifyBot, we configured branches as '!master'. Due to this configuration, 'master' branch would be ignored in knownRefs. Therefore, in method RepositoryWorkItem#handleNewRef, The NotifyBot would not be able to find a candidate and it will return immediately.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32iz7:",9223372036854775807,,,,,,,,,,,,"2023-08-09 10:10;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1539
Date: 2023-08-01 21:10:11 +0000;;;","2023-08-09 13:03;roboduke;Changeset: ae584a67
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-08-09 20:03:34 +0000
URL:       https://git.openjdk.org/skara/commit/ae584a67b854aa4ff35edff352d826ef73e821fc
;;;",,,,,,,,,,,,,,,,,,,,,
Add GitHub user SoniaZaldana,SKARA-1978,5106739,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,szaldana,szaldana,2023-07-26 12:13,2023-07-26 12:42,2023-10-01 09:55,2023-07-26 12:42,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,"Creating this issue per bot comment as I am an OpenJDK commiter. 
Census for reference: 
https://openjdk.org/census#szaldana
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32iir:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verify my account at Skara,SKARA-1972,5105671,Bug,Closed,SKARA,Skara,software,darcy,,,P4,Fixed,robilad,jjose,jjose,2023-07-18 02:50,2023-07-18 13:55,2023-10-01 09:55,2023-07-18 13:55,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,"I raised MR https://github.com/openjdk/jdk21u/pull/11 on this bot replied you have signed the Oracle Contributor Agreement (OCA).
I am oracle employee and also i am part of the Oracle organization on Github.
User name: johnyjose30
Email : johny.jose@oracle.com
Please verify my account at SKARA ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32bxf:",9223372036854775807,,,,,,,,,,,,"2023-07-18 13:55;robilad;Done.;;;",,,,,,,,,,,,,,,,,,,,,,
dqu@openjdk.org doesn't forward emails,SKARA-1961,5103861,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,tbell,dqu,dqu,2023-06-22 02:34,2023-06-22 10:17,2023-10-01 09:55,2023-06-22 09:20,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,"According to document of Skara (https://wiki.openjdk.org/display/SKARA#Skara-OpenJDKEmail). After finishing the previous steps, emails sent to my openjdk email (dqu@openjdk.org) will be forwarded to my registered email of openjdk account but they are not forwarded. Instead, when I send to this email address, I receive such error:

(reason: 550 5.1.1 <dqu@openjdk.org>: Recipient address rejected: User unknown in local recipient table)

I need this forwarding because I need to add my openjdk.org email to my github account. Did I miss some steps? Thanks in advance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i320r7:",9223372036854775807,,,,,,,,,,,,"2023-06-22 05:26;erikj;Tim, can you check the email configuration?;;;","2023-06-22 09:20;tbell;Skara/OpenJDK alias file updated with new user:

# wc -l ./skara
753 ./skara

# grep dqu ./skara
dqu:            xxxxxxxxxx@yyyyyyyyyy.com
;;;","2023-06-22 10:17;dqu;Thanks for your help, Tim! However, I have tried to use my gmail to send an email to my openjdk.org account, but I still cannot receive the forwarded email. The good news is that gmail won’t receive the above error message from MAILER-DAEMON@oracle.com.

Would it be something wrong with my registered email address? (FYI, I registered openjdk account with a 163.com email address. And I heard that 163.com is prohibited from oracle.com email box but I don’t know if it is true and whether it affects the email forwarding.);;;",,,,,,,,,,,,,,,,,,,,
Add GitHub user DarraghClarke,SKARA-1953,5103539,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,dclarke,dclarke,2023-06-19 07:57,2023-06-20 01:29,2023-10-01 09:55,2023-06-20 01:29,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31yrn:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't run the second jcheck if there is no .jcheck/conf in source branch,SKARA-1950,5103343,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-06-15 13:40,2023-06-16 09:30,2023-10-01 09:55,2023-06-16 09:30,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,"SKARA-1937 triggered CheckWorkItem for many “ancient” prs and if the pr’s source branch doesn’t contain .jcheck/conf , it would trigger the second run of jcheck and then throw some exceptions.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31xk3:",9223372036854775807,,,,,,,,,,,,"2023-06-15 15:09;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1533
Date: 2023-06-15 20:49:14 +0000;;;","2023-06-16 09:30;roboduke;Changeset: 8a63cc27
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-06-16 16:30:05 +0000
URL:       https://git.openjdk.org/skara/commit/8a63cc27a1041498941310ea7757fc5bd60d06d3
;;;",,,,,,,,,,,,,,,,,,,,,
User not getting push access to backport branch,SKARA-1948,5103198,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,erikj,erikj,2023-06-14 10:21,2023-06-14 14:24,2023-10-01 09:55,2023-06-14 14:24,,,,,,,1.0,libraries,,0,,,,,,,,,,,,,,,,,,"When a user creates a backport PR using the /backport command, they are supposed to get push access to the branch in the fork repository. On GitHub, this doesn't seem to be working. All the backport branches in https://github.com/openjdk-bots/jdk21 have branch protection rules restricting who can push, but none contain any users in the allow list (except one which I manually modified for now).

This is handled by the method GitHubRepository::restrictPushAccess. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31wo3:",9223372036854775807,,,,,,,,,,,,"2023-06-14 13:06;erikj;After having experimented a bit with this method and API endpoint, my conclusion is the following. For a user to be eligible for listing in a branch protection rule, that user must first have push access in the repository. Just having a pending invite is not enough. 

Given this, I don't see how we can continue to limit push access on branch level in the fork repos. Given the increased usage of /backport command in jdk21, I think we just have to disable this feature.

Maybe we could still let it happen if we can check if the user has accepted the invite. The first time a user creates a /backport, the protection won't be there, but for future /backports, the protection could still be added.;;;","2023-06-14 13:25;zsong;Yes, after investigation, I just got the same conclusion with Erik. A user should be in the list of collaborators first and then the bot would be able to grant push access to specific branch to the user. Currently, if the bot found the user is not a collaborator in this repo, what the bot could do is only to send invitation to the user. And before the user accepts the invitation, the bot is unable to grant push access to the user.;;;","2023-06-14 13:47;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1532
Date: 2023-06-14 20:46:04 +0000;;;","2023-06-14 13:47;erikj;An alternative solution would be to send out the invitation and then halt the processing of the /backport command until the user has accepted. I don't think it's worth the hassle though, as the user experience will likely be pretty bad.;;;","2023-06-14 14:24;roboduke;Changeset: 9af46280
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2023-06-14 21:24:00 +0000
URL:       https://git.openjdk.org/skara/commit/9af462809a696150305935218f2501941262a7c5
;;;",,,,,,,,,,,,,,,,,,
Add GitHub user gergo-,SKARA-1945,5103029,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,gbarany,gbarany,2023-06-13 01:51,2023-06-13 06:03,2023-10-01 09:55,2023-06-13 06:03,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,"https://github.com/openjdk/jdk/pull/14441#issuecomment-1588799844

{quote}
Hi @gergo-, welcome to this OpenJDK project and thanks for contributing!

We do not recognize you as Contributor and need to ensure you have signed the Oracle Contributor Agreement (OCA). If you have not signed the OCA, please follow the instructions. Please fill in your GitHub username in the ""Username"" field of the application. Once you have signed the OCA, please let us know by writing /signed in a comment in this pull request.

If you already are an OpenJDK Author, Committer or Reviewer, please click here to open a new issue so that we can record that fact. Please use ""Add GitHub user gergo-"" as summary for the issue.

If you are contributing this work on behalf of your employer and your employer has signed the OCA, please let us know by writing /covered in a comment in this pull request.
{quote}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31vmj:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update .github/workflows/ci.yml to fix GHA,SKARA-1943,5102997,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-06-12 13:40,2023-06-14 11:41,2023-10-01 09:55,2023-06-14 11:41,,,,,,,1.0,admin,,0,,,,,,,,,,,,,,,,,,"Since last month, the GitHub Action for running tests on macOS has been failing consistently, and the test job always failed due to time out. It seems like that GitHub no longer supports tests on macOS-10.15, so we need to update the configuration.

https://docs.github.com/en/actions/using-github-hosted-runners/about-github-hosted-runners#supported-runners-and-hardware-resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31vff:",9223372036854775807,,,,,,,,,,,,"2023-06-12 13:56;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1530
Date: 2023-06-12 20:43:21 +0000;;;","2023-06-14 11:41;roboduke;Changeset: b6a82541
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-06-14 18:40:03 +0000
URL:       https://git.openjdk.org/skara/commit/b6a82541e16d06e1efbbf3a51b9b695620e2e11d
;;;",,,,,,,,,,,,,,,,,,,,,
