Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Add GitHub user pejovica,SKARA-1926,5102210,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,apejovic,apejovic,2023-05-31 05:41,2023-06-01 07:43,2023-10-01 09:55,2023-06-01 07:43,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31ql7:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When archiving a comment, mlbridgeBot would strip everything after the first command",SKARA-1925,5101841,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-05-25 08:55,2023-06-05 13:31,2023-10-01 09:55,2023-06-05 13:31,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"A user reported that there is no email generated for this comment.
https://github.com/openjdk/jdk/pull/14114#issuecomment-1562126987

It is caused by the initial /csr needed command.

Currently, when archiving a comment, mlbridgeBot would strip everything after the first command. This is bad.

I think we could use the same strategy in CommandExtractor#extractCommands to filter out commands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-755,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31ob7:",9223372036854775807,,,,,,,,,,,,"2023-06-01 15:27;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1524
Date: 2023-06-01 22:22:25 +0000;;;","2023-06-05 13:31;roboduke;Changeset: 86e474e7
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-06-05 20:30:41 +0000
URL:       https://git.openjdk.org/skara/commit/86e474e7b5679f5635a2f055e7992dd7ad5d1226
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associate GitHub account jankratochvil with OpenJDK user jkratochvil,SKARA-1915,5101563,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,jkratochvil,jkratochvil,2023-05-23 04:16,2023-05-23 05:44,2023-10-01 09:55,2023-05-23 05:44,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31mlf:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IssuePoller always returns the most recently updated issue even if it has already been handled,SKARA-1914,5101268,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-05-18 16:05,2023-05-22 09:14,2023-10-01 09:55,2023-05-22 09:14,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"When I was testing with SKARA-1912, I observed an issue in the IssuePoller. Although some updated csr issues has been handled in the previous round, the most recently updated csr issue would be returned again in the next round. Therefore, this would trigger the CSRIssueWorkItem and CheckWorkItem to update the PR very frequently.

Erik investigated it and found the root cause.

In the IssuePoller#updatedIssues, the poller first queries for updated issues (which may include some handled issues due to the imprecise timestamp, measured in minutes). Subsequently, the poller checks whether the issues have been really updated by comparing them with their copies using JiraIssue#equals. In this method, we compare the json of the issue with our own copy. If the issues are really updated, the poller returns them.

Originally, the JiraIssue#equals method worked well. However, now, when the poller uses the REST API to retrieve the JSON of the issue, it includes a field called ""customfield_11700,"" which represents the ""Development"" field used by Jira to display data quickly and easily in the issues. Within this field, there are various objects, such as ""SummaryItemBean@5e105688."" These objects change each time the poller makes a query. Therefore, even if the issue has not actually been updated, the JiraIssue#equals method will return false.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31kxv:",9223372036854775807,,,,,,,,,,,,"2023-05-19 11:19;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1522
Date: 2023-05-19 18:16:24 +0000;;;","2023-05-22 09:14;roboduke;Changeset: 63d149ad
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-05-22 16:14:15 +0000
URL:       https://git.openjdk.org/skara/commit/63d149adb0a4b4640875f9a6462f6bc2c5f60340
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user olivergillespie,SKARA-1911,5100915,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,ogillespie,ogillespie,2023-05-15 01:26,2023-05-15 06:32,2023-10-01 09:55,2023-05-15 06:32,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31irf:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empty GET calls should be left empty,SKARA-1909,5100730,Bug,Resolved,SKARA,Skara,software,darcy,,,P1,Fixed,erikj,erikj,erikj,2023-05-11 06:13,2023-05-11 08:24,2023-10-01 09:55,2023-05-11 08:24,,,,,,,1.0,libraries,,0,,,,,,,,,,,,,,"Over the last week, we have had issues with JBS returning weird errors seemingly randomly, which has caused a lot of problems with the bots. It turns out our hosting provider has become more stringent with handling http/2 requests and no longer likes GET requests with a request body. Skara currently always fills in the body of a request, regardless of type, with an empty JSON document '{}' when the body is empty. This seems to be faulty behavior and we should let empty GET calls be empty instead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31hmb:",9223372036854775807,,,,,,,,,,,,"2023-05-11 06:16;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1519
Date: 2023-05-11 13:15:34 +0000;;;","2023-05-11 08:24;roboduke;Changeset: d62a0c07
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2023-05-11 15:24:19 +0000
URL:       https://git.openjdk.org/skara/commit/d62a0c0702c06020f00b603aef2a6553c7912c63
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user karianna,SKARA-1908,5100648,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,karianna,karianna,2023-05-10 19:39,2023-05-11 05:34,2023-10-01 09:55,2023-05-11 05:34,,,,,,,,admin,,0,,,,,,,,,,,,,,"Following the process as per: https://wiki.openjdk.org/display/SKARA/Skara#Skara-AssociatingyourGitHubaccountandyourOpenJDKusername

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31h43:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR should not be integrated with the temporary issue failure,SKARA-1907,5100626,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-05-10 11:02,2023-05-11 13:33,2023-10-01 09:55,2023-05-11 13:33,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"In SKARA-1899, we stopped all notifiers if we found temporary issue failure. However, it will introduce some problems. If the pr is integrated when the temporary issue failure is happening, the notifiers will not be trigger again because the pr bot will not update integrated pr body.

Also, if the pr is integrated with the temporary issue failure, it would make the issue never get resolved. So we shouldn't let user integrate the pr with the temporary issue failure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31gz7:",9223372036854775807,,,,,,,,,,,,"2023-05-10 16:28;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1518
Date: 2023-05-10 18:12:20 +0000;;;","2023-05-11 13:33;roboduke;Changeset: f4b77000
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-05-11 20:32:20 +0000
URL:       https://git.openjdk.org/skara/commit/f4b7700009405aaf8c0d142cc3687f8c4fa95284
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user brianjstafford,SKARA-1904,5100556,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,bstafford,bstafford,2023-05-09 15:30,2023-05-10 05:34,2023-10-01 09:55,2023-05-10 05:34,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31gjn:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verify User's repository access when processing backport command,SKARA-1903,5100551,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-05-09 14:00,2023-06-05 09:00,2023-10-01 09:55,2023-06-05 09:00,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"In GitLab, every project is under a group. If user doesn't have access to the group, then the user will not be able to see any project under the group.

However, when processing backport command, the bot will not verify user's group membership, so that it's possible for the bot to create a pull request that is invisible to the user.

For example, if a user has access to ""groupA"" but not ""groupB"", then he can issue the ""/backport groupB/repo2"" command on one of the commits in ""groupA/repo1"". In this case, Skara bot would create a PR that is invisible to the user.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1109,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31gij:",9223372036854775807,,,,,,,,,,,,"2023-05-10 10:20;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1516
Date: 2023-05-09 21:05:01 +0000;;;","2023-06-05 09:00;roboduke;Changeset: 1ac2ffa4
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-06-05 15:59:56 +0000
URL:       https://git.openjdk.org/skara/commit/1ac2ffa4e297eba8dec482bc524be87aa5becfa7
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
