Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Escape HTML in source code hosting provider's web UI as required,SKARA-1807,5092567,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,prappo,prappo,2023-01-26 08:08,2023-08-22 05:47,2023-10-01 09:56,2023-01-27 10:33,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,Bug summaries that resemble HTML might be a problem for UIs like GitHub or GitLab. Skara bots should escape sensitive parts of such summaries. Here's an example of what an unescaped <code> might do (pay attention to the bot comments to the PR): https://github.com/openjdk/jdk/pull/4273. Another example is an unescaped <section>: https://github.com/openjdk/jdk11u-dev/pull/1219.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1027,,,,,,,,,SKARA-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i303yz:",9223372036854775807,,,,,,,,,,,,"2023-01-26 09:04;erikj;To be clear, the issue here is the ""<code>"" in the bug title, which gets messed up in the Skara generated part of the PR body.;;;","2023-01-27 09:40;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1465
Date: 2023-01-26 23:58:20 +0000;;;","2023-01-27 10:33;roboduke;Changeset: 1838b76d
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-01-27 18:33:05 +0000
URL:       https://git.openjdk.org/skara/commit/1838b76d4f3223c4e187b3b51f91716d1a9fc1e9
;;;",,,,,,,,,,,,,,,,,,
Need committer rights in closed jdk updates and mainline project,SKARA-1804,5092415,Bug,Closed,SKARA,Skara,software,darcy,,,P4,Fixed,anantsi,harakesh,harakesh,2023-01-24 22:50,2023-01-29 22:02,2023-10-01 09:56,2023-01-29 22:02,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,"I have backported the following till now:
https://bugs.openjdk.org/browse/JDK-8261279
https://bugs.openjdk.org/browse/JDK-8284892
I need committer rights in jdk updates and mainline project
This includes the closed census in jdk-updates as well as the closed part of the mainline jdk project.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i30317:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitLabRepository.canPush only checks direct members,SKARA-1803,5092387,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,erikj,erikj,2023-01-24 11:53,2023-01-25 10:21,2023-10-01 09:56,2023-01-25 10:21,,,,,,,,1.0,libraries,,0,,,,,,,,,,,,,,,,The method `canPush` on GitLabRepository uses the wrong endpoint for the query. It only checks for direct members and not inherited members (https://docs.gitlab.com/ee/api/members.html).,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i302uz:",9223372036854775807,,,,,,,,,,,,"2023-01-24 12:48;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1462
Date: 2023-01-24 20:46:57 +0000;;;","2023-01-25 10:21;roboduke;Changeset: 9a2a9f74
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2023-01-25 18:21:18 +0000
URL:       https://git.openjdk.org/skara/commit/9a2a9f7415f937b27b84fbf13f7cbd0d28559082
;;;",,,,,,,,,,,,,,,,,,,
Exclude some GraphQL calls from RestRequestCache rate limiter,SKARA-1801,5092281,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,erikj,erikj,2023-01-23 14:22,2023-01-24 09:19,2023-10-01 09:56,2023-01-24 09:19,,,,,,,,1.0,admin,,0,,,,,,,,,,,,,,,,"In SKARA-1731, the best practices regarding non GET requests on Github became better enforced. Unfortunately that has lead to some unexpected performance issues. I believe this is mostly caused by GraphQL requests, which are always POST, being treated as a non GET REST requests by the limiter and limited to one per second.

Reading the Integrator best practices document again (https://docs.github.com/en/rest/guides/best-practices-for-integrators?apiVersion=2022-11-28) and the GraphQL resource limitations (https://docs.github.com/en/graphql/overview/resource-limitations) I'm pretty sure you aren't supposed to limit GraphQL to one call per second, but rather just make sure you stay within the points limit.

I want to make it possible to exclude certain calls from this rate limiter to see if this can alleviate the contention we are currently seeing.

Two PRs were unable to integrate today due to this contention:
https://github.com/openjdk/jdk/pull/12139
https://github.com/openjdk/jdk/pull/11922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i3027f:",9223372036854775807,,,,,,,,,,,,"2023-01-24 06:43;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1461
Date: 2023-01-24 14:41:46 +0000;;;","2023-01-24 09:19;roboduke;Changeset: 51956054
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2023-01-24 17:18:47 +0000
URL:       https://git.openjdk.org/skara/commit/51956054485fce5cb42629c9696a3131cb098178
;;;",,,,,,,,,,,,,,,,,,,
Do not notify on Withdrawn  CSR issue,SKARA-1799,5092112,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-01-20 12:27,2023-01-20 13:49,2023-10-01 09:56,2023-01-20 13:49,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,"In SKARA-1714, we will add '(Withdrawn)' to withdrawn CSR issues shown in the pr body. However, this will cause a small bug in the notify bot which the issueNotifier will add a review link to withdrawn CSR issues. To fix this, simply update the filter in the notify/PullRequestWorkItem#parseIssues method.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i3015v:",9223372036854775807,,,,,,,,,,,,"2023-01-20 13:37;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1460
Date: 2023-01-20 20:40:04 +0000;;;","2023-01-20 13:49;roboduke;Changeset: 12e3cdc6
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-01-20 21:48:26 +0000
URL:       https://git.openjdk.org/skara/commit/12e3cdc69142797dd68c189ece2d5afe68590cca
;;;",,,,,,,,,,,,,,,,,,,
Need committer rights in closed jdk updates and mainline project,SKARA-1795,5091940,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,anantsi,kj,kj,2023-01-19 02:32,2023-01-24 03:54,2023-10-01 09:56,2023-01-24 03:54,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,"I have done these fixes in closedjdk so far.

https://bugs.openjdk.org/browse/JDK-8298179
https://bugs.openjdk.org/browse/JDK-8299440
https://bugs.openjdk.org/browse/JDK-8299517
https://bugs.openjdk.org/browse/JDK-8298911
https://bugs.openjdk.org/browse/JDK-8298932
https://bugs.openjdk.org/browse/JDK-8299572

I need committer rights in jdk updates and mainline project
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i3003n:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skara PR commands are not interpreted on Github review comments,SKARA-1789,5091463,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,zsong,ihse,ihse,2023-01-16 08:38,2023-01-19 16:06,2023-10-01 09:56,2023-01-19 16:06,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,"I don't know how many times I've been bitten by this. Typically I want to approve a PR ""from my perspective"", but still saying that the author needs more reviewers. So I go to the Files tab, fill in a comment like:

Build changes ok.
/reviewers 2

and press approve.

And the command is just ignored by Skara. :(

I guess the same goes if you would make a single comment in review mode as well, but I have not tested this.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2zx5n:",9223372036854775807,,,,,,,,,,,,"2023-01-18 11:13;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1458
Date: 2023-01-18 18:04:42 +0000;;;","2023-01-19 16:06;roboduke;Changeset: 2d70b1bd
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-01-20 00:06:24 +0000
URL:       https://git.openjdk.org/skara/commit/2d70b1bd4736fd1e0ea6773b8594875434cccdf6
;;;",,,,,,,,,,,,,,,,,,,
Add GitHub user justin-curtis-lu,SKARA-1787,5091383,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,,jlu,jlu,2023-01-13 10:28,2023-01-13 13:23,2023-10-01 09:56,2023-01-13 13:23,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2zwnv:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not always add CSR_UPDATE_MARKER when CSR bot finds withdrawn CSR Issue,SKARA-1785,5091204,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,zsong,zsong,2023-01-11 10:37,2023-01-11 12:45,2023-10-01 09:56,2023-01-11 12:45,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,"In SKARA-1728, I said that 'if we find a withdrawn pr, we need to add CSR_UPDATE_MARKER to the pr body.', yes, we need to add CSR_UPDATE_MARKER, but there is a prerequisite which is that our status message doesn't contain this withdrawn issue. Otherwise, the CSR bot will always add CSR_UPDATE_MARKER when it finds a withdrawn CSR Issue and the pr body will be updated very frequently(looks like the bot go berserk).

This issue is same as SKARA-1673. I discovered this issue and fixed it, but I am silly enough to make the same mistake again.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2zvk3:",9223372036854775807,,,,,,,,,,,,"2023-01-11 11:34;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1455
Date: 2023-01-11 19:30:04 +0000;;;","2023-01-11 12:45;roboduke;Changeset: 20e61e4a
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-01-11 20:45:07 +0000
URL:       https://git.openjdk.org/skara/commit/20e61e4aa1c2065cf3cbd6b6c35e735e28d473e8
;;;",,,,,,,,,,,,,,,,,,,
"""Add GitHub user <YOUR-GITHUB-USERNAME>",SKARA-1783,5091173,Bug,Closed,SKARA,Skara,software,darcy,,,P4,Fixed,sshivang,stooke,stooke,2023-01-11 06:00,2023-01-11 08:01,2023-10-01 09:56,2023-01-11 06:01,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2zvd7:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
