Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
8-pool records not consumed by openjdk8uX fixversions,SKARA-1626,5084706,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,erikj,erikj,2022-10-04 12:36,2022-10-07 13:01,2023-10-01 09:56,2022-10-07 13:01,,,,,,,1.0,libraries,,0,,,,,,,,,,,,,,,,,,,,The logic for matching *-pool records in backports is not matching openjdk8uX to an issue with fixVersion 8-pool. This looks like an oversight in Backports.java.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2yscb:",9223372036854775807,,,,,,,,,,,,"2022-10-04 13:01;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1389
Date: 2022-10-04 19:58:33 +0000;;;","2022-10-07 13:01;roboduke;Changeset: 68b4f587
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2022-10-07 20:00:34 +0000
URL:       https://git.openjdk.org/skara/commit/68b4f58708ef4c113a81ce38455192a692f4c86b
;;;",,,,,,,,,,,,,,,,,,,,,
Validate input from /summary command,SKARA-1625,5084675,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,zsong,erikj,erikj,2022-10-04 09:01,2022-11-02 09:47,2023-10-01 09:56,2022-11-02 09:47,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"The /summary command is currently not performing any validation on the input. This makes it possible for a user to either mistakenly or willingly enter a bad summary that will cause CheckRuns to fail with exceptions when parsing the commit message. Once in this state, there is currently no way for the PR bot to recover. (Clearing the summary with an empty /summary command doesn't work, because the bot wants to run CheckWorkItem first, which is failing)

I would like to fix this in two ways:

1. Add validation to the SummaryCommand that makes sure the resulting commit comment is valid and produces a suitable error message otherwise. It should also check for obvious things that aren't a ""summary"" message, like ""Reviewed-by:"" or ""<bugid>:"".

2. Handle a bad commit message better without throwing exception. If the commit message is invalid, I think this should be treated as an integration blocker instead.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2ys5f:",9223372036854775807,,,,,,,,,,,,"2022-10-20 09:37;zsong;Hi Erik,
Could you please give me some examples about invalid summary? 

I just know that if the summary contains ""Co-authored-by:"", ""Reviewed-by:"" and ""Backport-of:"", it will cause some problem. But I couldn't think of more invalid summary.;;;","2022-10-20 10:08;erikj;Also check for lines starting with something that looks like a bugId. Something like: ""^[0-9]+: ""

For the complete answer you need to look at the definition we have for a valid commit message. This was defined in this JEP: https://openjdk.org/jeps/357 (Note that the regex for bugid there is exactly 8 digits. This is currently true for the JDK project, but Skara needs to support other projects as well (where new bugIds start from 1), and eventually the JDK project will flip over to 9 digits.);;;","2022-10-21 14:09;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1401
Date: 2022-10-21 21:08:55 +0000;;;","2022-11-02 09:47;roboduke;Changeset: dedb1571
Author:    Zhao Song <zsong@openjdk.org>
Committer: Erik Joelsson <erikj@openjdk.org>
Date:      2022-11-02 16:46:47 +0000
URL:       https://git.openjdk.org/skara/commit/dedb157185c92780f645b985e913f64d5ddbedf4
;;;",,,,,,,,,,,,,,,,,,,
Add GitHub user macarte,SKARA-1622,5084443,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,macarte,macarte,2022-09-29 12:27,2022-09-29 16:29,2023-10-01 09:56,2022-09-29 16:29,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2yqpv:",9223372036854775807,,,,,,,,,,,,"2022-09-29 16:29;kcr;Done.;;;",,,,,,,,,,,,,,,,,,,,,,
Add GitHub user bric3,SKARA-1621,5084402,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,bdutheil,bdutheil,2022-09-29 02:35,2022-09-29 05:53,2023-10-01 09:56,2022-09-29 05:01,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,For reference here's the github link : https://github.com/bric3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2yqgr:",9223372036854775807,,,,,,,,,,,,"2022-09-29 05:01;kcr;Done.;;;","2022-09-29 05:53;bdutheil;Cool thank you @Kevin;;;",,,,,,,,,,,,,,,,,,,,,
Add GitHub user benty-amzn,SKARA-1620,5084371,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,btaylor,btaylor,2022-09-28 15:11,2022-09-28 16:37,2023-10-01 09:56,2022-09-28 16:37,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,https://github.com/benty-amzn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2yq9v:",9223372036854775807,,,,,,,,,,,,"2022-09-28 16:37;kcr;Done.;;;",,,,,,,,,,,,,,,,,,,,,,
CSR bot failed to update PR when CSR was approved,SKARA-1618,5084261,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,erikj,erikj,2022-09-27 13:14,2022-10-07 13:02,2023-10-01 09:56,2022-10-07 13:02,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"This CSR JDK-8293975 was approved yesterday but the associated PR didn't update: https://github.com/openjdk/jdk/pull/10324. The user worked around it by adding a comment to the PR and was able to integrate.

I have browsed logs and tried to reproduce but I'm unable to reproduce the issue. The IssueWorkItem is finding the main bug from the CSR and I see it is listing comments, but then it's not mapping to the PR. I'm not sure, but it kinda looks like it's not getting any comments to parse, but I'm not completely sure.

Unclear what to do about this now, but recording it here to have a record.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2yplf:",9223372036854775807,,,,,,,,,,,,"2022-09-27 16:40;dholmes;I have the same problem with

https://github.com/openjdk/jdk/pull/10352

The CSR was approved yesterday.;;;","2022-09-28 07:49;gli;I suspect the `csr` bot which triggers updating the pull request and the `notify` bot which adds the pull request link don't have the same issue tracker account. So the method `PullRequestUtils#pullRequestCommentLink` can't find any pull request link when filtering `comment.author().equals(issue.project().issueTracker().currentUser()`.

Could somebody in Oracle help to check the configuration? The related code is at `BotRunnerConfiguration#parseIssueHosts`. The configuration seems like `issuetrackers --> jira --> username`.;;;","2022-10-04 13:54;erikj;That would be a good guess, but from what I can see, it's Robo Duke everywhere.;;;","2022-10-05 09:16;erikj;I think I have figured it out. This is caused by a mistake in the CSRBotFactory. I intended to create one CSRIssueBot instance for each unique IssueProject, but end up creating one for each repository instead. The reason for this is that JiraProject does not implement hashcode, so storing those in a HashSet does not eliminate duplicates. All of these CSRIssueBot instances will find updated CSR issues and try to spawn CSRIssueWorkItems for them, but only one or two will actually get to run because of the automatic elimination of duplicate WorkItems. Given that we have 10+ repos configured for CSR, the likelihood of the right one getting to run is pretty slim.;;;","2022-10-05 09:51;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1391
Date: 2022-10-05 16:49:52 +0000;;;","2022-10-07 13:02;roboduke;Changeset: 55084b1b
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2022-10-07 20:01:59 +0000
URL:       https://git.openjdk.org/skara/commit/55084b1bc6ff1d1d3261c19347a6eb3ec120104d
;;;",,,,,,,,,,,,,,,,,
Add GitHub user JohnTortugo,SKARA-1614,5084167,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,cslucas,cslucas,2022-09-26 13:55,2022-09-26 14:20,2023-10-01 09:56,2022-09-26 14:20,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2yp0j:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user merykitty,SKARA-1613,5084143,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,qamai,qamai,2022-09-26 11:32,2022-09-26 11:54,2023-10-01 09:56,2022-09-26 11:54,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,"Please associate my GitHub account with my OpenJDK identity.

https://github.com/merykitty
https://openjdk.org/census#qamai

Thanks a lot.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2yov7:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp workaround GitLab returning 500 when modifying labels,SKARA-1612,5084142,Bug,Resolved,SKARA,Skara,software,darcy,,,P1,Fixed,erikj,erikj,erikj,2022-09-26 11:28,2022-10-13 13:54,2023-10-01 09:56,2022-09-26 14:39,,,,,,,1.0,libraries,,0,,,,,,,,,,,,,,,,,,,,"We are currently experiencing an issue where GitLab returns 500 when we add or remove labels to a merge request. The label change still happens though, so to keep things running, I'm going to implement a temporary workaround to ignore the 500 result on these particular REST calls.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1610,SKARA-1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2youz:",9223372036854775807,,,,,,,,,,,,"2022-09-26 11:32;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1384
Date: 2022-09-26 18:31:07 +0000;;;","2022-09-26 14:39;roboduke;Changeset: b061577e
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2022-09-26 21:38:43 +0000
URL:       https://git.openjdk.org/skara/commit/b061577e3ed45b464e73b865d8b73528b9166e07
;;;",,,,,,,,,,,,,,,,,,,,,
Add GitHub user rgiulietti,SKARA-1609,5084132,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,rgiulietti,rgiulietti,2022-09-26 08:13,2022-09-26 08:32,2023-10-01 09:56,2022-09-26 08:32,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2yosr:",9223372036854775807,,,,,,,,,,,,"2022-09-26 08:32;kcr;Done.;;;",,,,,,,,,,,,,,,,,,,,,,
