Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
sync-bot not adding sync label to openjdk releases,SKARA-1394,5072148,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,rcalnan,rcalnan,2022-04-07 10:35,2022-05-04 07:29,2023-10-01 09:56,2022-05-04 07:29,,,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,"openjdk8u332 backports are not getting a sync label even though there is a openjdk8u322 backport.  Examples:

https://bugs.openjdk.java.net/issues/?jql=id%20in%20masterbug(%22project%20%3D%20jdk%20and%20fixversion%20%3D%20openjdk8u332%20and%20not%20labels%20%3D%20hgupdate-sync%22)%20%0Aand%20%20id%20in%20masterbug(%22project%20%3D%20jdk%20and%20fixversion%20%3D%20openjdk8u322%20and%20resolution%20%3D%20fixed%22)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wnq3:",9223372036854775807,,,,,,,,,,,,"2022-04-07 13:33;erikj;This isn't caused by openjdk, but that the Resolved in Build field is set to ""Team"". The current bot implementation does not consider bugs with ""Team"" to be eligible for the label. If this is wrong, then please update the bug accordingly. The reference I can find for this rule are these two issues which are used in the tests verifying this behavior in Skara: JDK-8077707, JDK-7092821. See tests here:

https://github.com/openjdk/skara/blob/4183bde9e8fc58eb6962d4e48ec8f2f86dcc3565/jbs/src/test/java/org/openjdk/skara/jbs/BackportsTests.java#L394
https://github.com/openjdk/skara/blob/4183bde9e8fc58eb6962d4e48ec8f2f86dcc3565/jbs/src/test/java/org/openjdk/skara/jbs/BackportsTests.java#L425

I will need a definition for what the correct behavior should be for these two bugs as well as the ones linked in the current description.;;;","2022-04-11 08:43;rcalnan;ok, let's get that defined.  I was thinking that the bot was tagging backports in team as a number have been tagged recently:
https://bugs.openjdk.java.net/issues/?jql=project%20%3D%20jdk%20and%20%22Resolved%20In%20Build%22%20%3D%20team%20and%20labels%20%3D%20hgupdate-sync%20and%20resolutiondate%20%3E%20-180d;;;","2022-04-11 10:03;erikj;Looking at the current code, the ""team"" exception currently only applies to main releases 7 and 8.;;;","2022-05-02 11:41;erikj;Going to remove the special handling of Resolved in Build ""team"".;;;","2022-05-03 14:46;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/skara/pull/1313
Date: 2022-05-03 21:45:51 +0000;;;","2022-05-04 07:29;roboduke;Changeset: 82d35bf7
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2022-05-04 13:28:28 +0000
URL:       https://git.openjdk.java.net/skara/commit/82d35bf704bcf07cc3dfb6090927535863df0ecf
;;;",,,,,,,,,,,,,,,,,,,,,,,,
PR bot fails on missing .jcheck/conf,SKARA-1393,5072147,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,erikj,erikj,2022-04-07 10:01,2022-11-17 09:37,2023-10-01 09:56,2022-11-17 09:37,,,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,"If the PR bot can't find a .jcheck configuration in the target branch of a PR, it throws an exception and will just endlessly retry. It would be more constructive to post something in the PR explaining the problem and then leave it be until there is reason to check the PR again.

This PR https://github.com/openjdk/shenandoah-jdk8u/pull/1 got stuck in this way and I had to disable the PR bot on the repo to stop the flood of alarms and then manually notify the repo owner.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wnpv:",9223372036854775807,,,,,,,,,,,,"2022-10-31 15:10;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1407
Date: 2022-10-31 22:09:06 +0000;;;","2022-11-17 09:37;roboduke;Changeset: 43461934
Author:    Zhao Song <zsong@openjdk.org>
Date:      2022-11-17 17:37:08 +0000
URL:       https://git.openjdk.org/skara/commit/434619347fa709ed95a55898ef1e64b700afe841
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backport MR links to the wrong CSR request,SKARA-1385,5071102,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,gli,erikj,erikj,2022-03-28 14:02,2022-05-27 07:34,2023-10-01 09:56,2022-05-27 07:34,,,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,"In a backport PR, there is a link to the primary issue and to the primary issue's CSR request (if it exists), but the backport issue is required to have its own CSR request and that is what the PR should be linking to and checking (if Orahub does that).

More precisely, the linked-to CSR should be one with a fixVersion matching the release in question. A CSR can have multiple fixVersions and in some cases the CSR for the change in the feature release is used for some number of updates too.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1380,,,,,SKARA-1432,SKARA-1433,SKARA-1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wh9v:",9223372036854775807,,,,,,,,,,,,"2022-05-02 22:26;gli;Currently, the PR bot doesn't have the information/configuration about fixVersion. The config `fixversions` and `altfixversions` are at the `notify bot` and are used in IssueNotifier. Need more Investigation to consider how to solve it.;;;","2022-05-03 05:22;erikj;While it's possible to configure fixVersion in the NotifyBot, we aren't doing that much anymore. We are encouraging putting the version in .jcheck/conf instead, and that makes it available to any bot. I would be fine with a solution that only works if (fix)version is defined in .jcheck/conf.;;;","2022-05-08 06:20;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/skara/pull/1318
Date: 2022-05-08 13:19:17 +0000;;;","2022-05-08 06:24;gli;The `version` currently in the `.jcheck/conf` may have enough information.

https://github.com/openjdk/jdk17u-dev/blob/master/.jcheck/conf;;;","2022-05-27 07:34;roboduke;Changeset: 9ced76d5
Author:    Guoxiong Li <gli@openjdk.org>
Date:      2022-05-27 14:34:14 +0000
URL:       https://git.openjdk.java.net/skara/commit/9ced76d50c6830b03b59492d426f2f5032dec828
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Cannot configure integrators for repositories in PullRequestBot,SKARA-1384,5070768,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,erikj,erikj,2022-03-22 15:47,2022-10-24 13:09,2023-10-01 09:56,2022-10-24 13:09,,,,,,,,,,1.0,bots,,0,starter,,,,,,,,,,,,,,,,,,"Certain operations on commits and pull requests requires that the issuer has ""integrator"" status in the repository. This is a concept in the PullRequestBot. Specifically using the /tag command on a commit or performing merge style PRs fall into this category (though the latter only requires it if the integrators set is non empty).

The problem with this is that there is no way of actually configuring the set of integrators. When these checks were added, the integrators concept was added to PullRequestBot and PullRequestBotBuilder but not PullRequestBotFactory, which is responsible for parsing the config file.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wf7n:",9223372036854775807,,,,,,,,,,,,"2022-03-23 13:23;andrew;Thanks for filing this.

I hadn't realised that SKARA treated merge PRs differently. I see from https://github.com/openjdk/jdk17u-dev/pull/282 that I could have used a PR for the recent 8u->8u-dev merge rather than a direct push. I assumed I'd have to wait on a reviewer if I did it via PR.;;;","2022-03-28 06:37;erikj;Merge style PRs are supported. You tell Skara that it's a merge PR by setting the title to ""Merge <project>:<branch>"" where `<project>` is the name of another project and branch is the name of the branch in that project that you are merging from. For a merge between branches in the same repo, you can omit the project part.

In my experience, merge style PRs don't require review. I have only used it on internal non-jdk projects however.;;;","2022-10-24 10:05;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1402
Date: 2022-10-24 17:04:28 +0000;;;","2022-10-24 13:09;roboduke;Changeset: e1f3a187
Author:    Zhao Song <zsong@openjdk.org>
Committer: Erik Joelsson <erikj@openjdk.org>
Date:      2022-10-24 20:08:44 +0000
URL:       https://git.openjdk.org/skara/commit/e1f3a187e112d5f9f05fb3d8d664c5fef8695e05
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
sync-bot removing sync label from JDK 6 backport,SKARA-1382,5070583,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,rcalnan,rcalnan,2022-03-18 14:18,2022-05-04 07:29,2023-10-01 09:56,2022-05-04 07:29,,,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,"https://bugs.openjdk.java.net/browse/JDK-8199547

this bug is fixed in 6u201 and 6u211.    6u211 didn't have a sync label and when I add one the bot removes it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2we2r:",9223372036854775807,,,,,,,,,,,,"2022-05-02 11:40;erikj;Going to add feature version 6 to the backports logic.;;;","2022-05-03 14:46;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/skara/pull/1313
Date: 2022-05-03 21:45:51 +0000;;;","2022-05-04 07:29;roboduke;Changeset: 82d35bf7
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2022-05-04 13:28:28 +0000
URL:       https://git.openjdk.java.net/skara/commit/82d35bf704bcf07cc3dfb6090927535863df0ecf
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user HimaBinduMeda,SKARA-1377,5070399,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,hmeda,hmeda,2022-03-16 01:01,2022-03-16 05:57,2023-10-01 09:56,2022-03-16 05:57,,,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wcxv:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incorrect sync labels,SKARA-1375,5070312,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,rcalnan,rcalnan,2022-03-15 07:00,2022-05-24 09:19,2023-10-01 09:56,2022-05-04 07:29,,,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,"9.0.1 was closed as wnf but 9.0.4 has a sync label
https://bugs.openjdk.java.net/browse/JDK-8160104

11.0.3  backport is a BPR and so 11.0.4 should not have a sync label
https://bugs.openjdk.java.net/browse/JDK-8209055
https://bugs.openjdk.java.net/browse/JDK-8220514

example with 11.0.2 BPR
https://andorra.us.oracle.com/jbsfault/update-sync/JDK-8204142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wcej:",9223372036854775807,,,,,,,,,,,,"2022-03-15 09:24;erikj;JDK-8160104 is SKARA-1363, which was fixed 2022-02-25. Touch the bug again and it should correct itself.;;;","2022-03-15 10:37;erikj;In the specification we have, it says that BPRs are identified via the 5 digit from 11.0.3. If this isn't true, then from which release did we start using the 5th digit?

Searching for bugs, it looks like 11.0.3 had a BPR both as 11.0.3 b31 and as 11.0.3.0.1.;;;","2022-03-22 00:52;ostuart;the first BPR to use the five digit convention was 11.0.3.0.1,  this was used as a proof of concept for RE and SQE to trial the five digit generation.   This was produced during May 2019.   This did not gate out onto the MOS Download. (edited) 

The first customer five digit BPR was 11.0.4.0.1   this was produced in August 2019 and is promoted to the MOS Download page.

Prior to this five digit adoption we had to service our customers by producing a three digit BPR that followed the naming from older product familes,  eg 11.0.3 b31;;;","2022-05-02 11:39;erikj;I would like to verify the expected behavior.

For JDK-8209055:
All fixversions: ""12"", ""11.0.4-oracle"", ""11.0.4"", ""11.0.3-oracle/b31"", ""11.0.2/b31""
Should have label: ""11.0.3-oracle""
Motivation: 11.0.3-oracle/b31 and 11.0.2/b31 are both BPRs, so are in the same stream.

For JDK-8220514:
All fixversions: ""11.0.2.0.1-oracle"", ""11.0.4-oracle"", ""11.0.3-oracle/b31""
Should have label: ""11.0.3-oracle""
Motivation: 11.0.3-oracle/b31 and 11.0.2.0.1-oracle are both BPRs, so are in the same stream.;;;","2022-05-03 14:46;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/skara/pull/1313
Date: 2022-05-03 21:45:51 +0000;;;","2022-05-04 07:29;roboduke;Changeset: 82d35bf7
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2022-05-04 13:28:28 +0000
URL:       https://git.openjdk.java.net/skara/commit/82d35bf704bcf07cc3dfb6090927535863df0ecf
;;;",,,,,,,,,,,,,,,,,,,,,,,,
Only add security label to jarsigner related files,SKARA-1372,5070237,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,weijun,weijun,weijun,2022-03-14 12:27,2022-03-14 14:08,2023-10-01 09:56,2022-03-14 14:08,,,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,"Currently, the core-libs and compiler labels are also set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wbxv:",9223372036854775807,,,,,,,,,,,,"2022-03-14 12:30;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/skara/pull/1294
Date: 2022-03-14 19:29:40 +0000;;;","2022-03-14 14:08;roboduke;Changeset: 631323a2
Author:    Weijun Wang <weijun@openjdk.org>
Committer: Erik Joelsson <erikj@openjdk.org>
Date:      2022-03-14 21:07:26 +0000
URL:       https://git.openjdk.java.net/skara/commit/631323a25f383d2f0b227239a683423bc159f879
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user jaybhaskar,SKARA-1367,5069563,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,jbhaskar,jbhaskar,2022-03-02 22:01,2022-03-03 06:25,2023-10-01 09:56,2022-03-03 06:25,,,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2w7s3:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user TheShermanTanker,SKARA-1366,5069528,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,jwaters,jwaters,2022-03-02 08:02,2022-03-02 08:35,2023-10-01 09:56,2022-03-02 08:35,,,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2w7kb:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
