Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Sprint,Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
sync-bot removing hgupdate-sync label from 8u5 backport,SKARA-1345,5068038,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,rcalnan,rcalnan,2022-02-07 19:55,2022-02-10 12:32,2023-10-01 09:56,2022-02-10 11:29,,,,,,,,,1.0,bots,,0,urt-infra,,,,,,,,,,,,,,,,,,,"In January the hgupdate sync label was removed from:

https://bugs.openjdk.java.net/browse/JDK-8031256

the fix was integrated into 8 and then 8u5 and so 8u5 should have a sync label.

Added an hgupdater-issue label a few minutes ago and it has not been updated, and so the bot thinks it is correct.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vylv:",9223372036854775807,,,,,,,,,,,,,"2022-02-09 09:14;erikj;The problem here is that Skara doesn't know about the number of builds that exists in release 8. It is applying the rule that says >b60 means it's a special release that shouldn't be considered.;;;","2022-02-09 09:39;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/skara/pull/1284
Date: 2022-02-09 17:38:30 +0000;;;","2022-02-10 11:29;roboduke;Changeset: e7a5c307
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2022-02-10 19:28:37 +0000
URL:       https://git.openjdk.java.net/skara/commit/e7a5c30777a1f9d4d0f55c66a2f66e6aa8d8fe73
;;;","2022-02-10 12:32;erikj;This has been deployed and the affected issue has been automatically corrected (after a nudge from me).;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user rpatil-java,SKARA-1343,5067928,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,rpatil,rpatil,2022-02-06 23:35,2022-02-07 05:21,2023-10-01 09:56,2022-02-07 05:21,,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,"Hi Skara admins,
Please link my OpenJDK username ""rpatil"" to my Github account ""rpatil-java"".
I am part of the JPG team at Oracle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vxxf:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user stepanov17,SKARA-1342,5067824,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,avstepan,avstepan,2022-02-04 07:50,2022-02-04 09:59,2023-10-01 09:56,2022-02-04 09:59,,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,please add github user stepanov17. thanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vxjf:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correct email domain not always used when adding a contributor to a PR,SKARA-1340,5067731,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,kcr,kcr,2022-02-03 07:34,2023-05-08 13:02,2023-10-01 09:56,2023-05-08 13:02,,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"When not using the default census, the email address of the PR author is correctly taken from the census. This is not the case for additional contributors, added by the ""/contributor add"" command. The email domain for additional contributors is always the default ""openjdk.org"" domain.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vwyz:",9223372036854775807,,,,,,,,,,,,,"2022-02-08 00:26;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/skara/pull/1281
Date: 2022-02-08 08:25:24 +0000;;;","2023-05-05 10:54;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1513
Date: 2023-05-05 17:06:52 +0000;;;","2023-05-08 13:02;roboduke;Changeset: 53328fdb
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-05-08 20:01:41 +0000
URL:       https://git.openjdk.org/skara/commit/53328fdbacdc59a9bdc928022f43de232be332af
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user Larry-N,SKARA-1338,5067712,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,inakonechnyy,inakonechnyy,2022-02-03 02:50,2022-02-03 04:37,2023-10-01 09:56,2022-02-03 04:37,,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,Please add my github username to OpenJDK organisation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vwur:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sponsor label only removed if PR is actually sponsored,SKARA-1333,5067168,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,gli,erikj,erikj,2022-01-26 12:23,2022-02-09 06:38,2023-10-01 09:56,2022-02-09 06:38,,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"When a PR is first marked with sponsor, but then the author becomes a committer before the PR is sponsored, and integrates on their own, the sponsor label gets stuck and is never removed. I think this is a pretty simple fix in IntegrateCommand, to make sure sponsor labels are also removed if present when a change is actually integrated.

Example PR: https://github.com/openjdk/jdk/pull/5714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vthv:",9223372036854775807,,,,,,,,,,,,,"2022-02-08 04:04;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/skara/pull/1282
Date: 2022-02-08 12:03:16 +0000;;;","2022-02-09 06:38;roboduke;Changeset: 4df4afb8
Author:    Guoxiong Li <gli@openjdk.org>
Committer: Erik Joelsson <erikj@openjdk.org>
Date:      2022-02-09 14:38:11 +0000
URL:       https://git.openjdk.java.net/skara/commit/4df4afb8f85b5a4ebb7d2dec7482b56836c56046
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skara sometimes fails to detect that a backport was clean,SKARA-1332,5067136,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,zsong,kcr,kcr,2022-01-26 08:09,2023-05-09 09:45,2023-10-01 09:56,2023-05-08 14:04,,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,"Sometimes the Skara PR bot doesn't detect that a backport is clean, and doesn't add the ""clean"" label (thus isn't subsequently marked as ""ready"").
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vtar:",9223372036854775807,,,,,,,,,,,,,"2022-02-07 20:18;gli;Could you please give an example PR? Thanks.;;;","2022-02-11 09:39;kcr;Here is a recent example:
https://github.com/openjdk/jfx17u/pull/33;;;","2022-04-20 06:44;kcr;Here is another instance of this bug:

https://github.com/openjdk/jfx17u/pull/41;;;","2022-04-20 08:27;gli;It is because the GitHub rest-api returns the paging data instead of the concrete data if the file number of the PR is too large.

The related rest-api:
https://docs.github.com/en/rest/commits/commits#get-a-commit
https://docs.github.com/en/rest/pulls/pulls#list-pull-requests-files

I will submit a PR to fix it in the near feature.;;;","2022-04-20 15:30;gli;GitHub sometimes don't return the `patch` field of the files.

Please try these three search and find the keyword `libxml2.def.src`:
1. https://api.github.com/repos/openjdk/jfx/pulls/764/files?per_page=30&page=4
2. https://api.github.com/repos/openjdk/jfx/pulls/764/files?per_page=100
3. https://api.github.com/repos/openjdk/jfx/commits/b0f2521219efc1b0d0c45088736d5105712bc2c9

You can see the first link returns the `patch` field of the file `libxml2.def.src`.
But the second and third link don't return the `patch` field.

It is very strange and the GitHub rest-api doc seems not state the concrete detial about it.
;;;","2022-04-22 08:19;gli;An analysis about failing to get patch information from Github was posted at PR-1302 [1]. And SKARA-1406 [2] solves part of this issue about that the GitHub rest api `get-a-commit` [3] and `list-pull-requests-files` [4] don't return the `patch` field when the `per_page` argument exceeds 70.

[1] https://github.com/openjdk/skara/pull/1302#issue-1211945938
[2] https://bugs.openjdk.java.net/browse/SKARA-1406
[3] https://docs.github.com/en/rest/commits/commits#get-a-commit
[4] https://docs.github.com/en/rest/pulls/pulls#list-pull-requests-files;;;","2023-05-08 12:56;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/skara/pull/1515
Date: 2023-05-08 19:45:59 +0000;;;","2023-05-08 14:04;roboduke;Changeset: 0043fdf3
Author:    Zhao Song <zsong@openjdk.org>
Date:      2023-05-08 21:03:19 +0000
URL:       https://git.openjdk.org/skara/commit/0043fdf3aab5a5dee4ad6e35915bb7962b39ce2e
;;;","2023-05-09 05:39;kcr;Thanks for fixing this. This will be a big help. I'll keep an eye out for any problems.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incorrect hgupdate label for JDK 7 updates,SKARA-1329,5066989,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,rcalnan,rcalnan,2022-01-25 06:50,2022-01-27 14:41,2023-10-01 09:56,2022-01-27 12:07,,,,,,,,,1.0,bots,,0,urt-infra,,,,,,,,,,,,,,,,,,,"7u45 is missing an hgupdate-sync label, for example:

https://bugs.openjdk.java.net/browse/JDK-8020381

this may be due to 7u40 having over 30 builds and so is perhaps being mistaken for a BPR.   This query lists the issues that are tagged incorrectly:

https://bugs.openjdk.java.net/issues/?jql=id%20in%20masterbug(%22project%20%3D%20jdk%20and%20fixversion%20%3D%207u45%20and%20not%20labels%20%3D%20hgupdate-sync%22)%20%0Aand%20%20id%20in%20masterbug(%22project%20%3D%20jdk%20and%20fixversion%20%3D%207u40%20and%20resolution%20%3D%20fixed%22)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vse3:",9223372036854775807,,,,,,,,,,,,,"2022-01-25 13:05;erikj;That is correct. The current rule implemented by Skara is that for 7 and 8, any build between 31 and 60 is considered a BPR. If there are exceptions to this rule, we should try to cover all of them with this bug. For which updates should we not assume b31+ are for BPRs?;;;","2022-01-25 13:22;erikj;Looking at the specification given to Skara, BPR should only be builds 30 to 39, so there is another error already.

I took at stab at looking for releases which had a build 29 and found 7u40 and 8u26. I'm going to assume those are the only exceptions. 

Unless I hear anything else, I will implement these changes.;;;","2022-01-26 12:17;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/skara/pull/1280
Date: 2022-01-26 20:16:23 +0000;;;","2022-01-27 09:01;erikj;The specification says 30-39 is reserved for BPR and 60+ are special releases that should not be considered for hgupdate-sync. That leaves a gap of undefined numbers in the range 40-59. Before this change, those were assumed to be in the BPR range, and after contemplating this for a while, I agree with that conclusion. We need to handle it in some way, though I don't think any release exists where this actually matters.;;;","2022-01-27 12:07;roboduke;Changeset: 39785f26
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2022-01-27 20:07:11 +0000
URL:       https://git.openjdk.java.net/skara/commit/39785f26f571cb64ddc43d9776081b53833a90e8
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Skara to recognize the FX 8uNNN-bXX tag format,SKARA-1325,5066810,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,kcr,kcr,2022-01-21 06:13,2022-01-31 07:56,2023-10-01 09:56,2022-01-24 13:56,,,,,,,,,1.0,libraries,,0,,,,,,,,,,,,,,,,,,,,"When a new tag is pushed, the Skara bot will update the resolved-in-build field for all bugs fixed between the previous build tag and the current one, setting it to the build number corresponding to the just-pushed tag. In order for this to work with FX 8u bugs, the bot needs to recognize the FX 8u tag format, which is:

8uNNN-bXX

where NNN is the update-release number and XX is the build number. This is equivalent to the JDK tag format, which uses jdk8uNNN-bXX, except that the FX tags don't have a prefix before ""8u"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1324,,,JDK-8118553,JDK-8280485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vrab:",9223372036854775807,,,,,,,,,,,,,"2022-01-24 12:51;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/skara/pull/1279
Date: 2022-01-24 20:50:22 +0000;;;","2022-01-24 13:56;roboduke;Changeset: 69aa9482
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2022-01-24 21:55:31 +0000
URL:       https://git.openjdk.java.net/skara/commit/69aa9482b96fcab75868ff6bc97c7e843a691e7d
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user djelinski,SKARA-1321,5066712,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,djelinski,djelinski,2022-01-20 01:29,2022-01-20 04:28,2023-10-01 09:56,2022-01-20 04:28,,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,Please link my gh user https://github.com/djelinski to https://openjdk.java.net/census#djelinski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vqoj:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
