Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (CPU),Custom field (CPU),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Sprint,Sprint,Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"Possible race condition when integrating PR could cause a spurious ""Withdrawn"" email",SKARA-1280,5064486,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,kcr,kcr,2021-12-10 07:27,2021-12-14 08:35,2023-10-01 09:57,2021-12-14 08:35,,,,,,,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,"When a pull request is integrated, the PR bot closes the PR and adds the ""integrated"" label. Since this is not an atomic operation, it is possible for the notify bot to see the PR in the state where it is closed but does not yet have the ""integrated"" label. In that case, the notify bot will send a spurious email saying that the PR was withdrawn. This is confusing, but not a serious problem, since it will still be processed correctly and a subsequent ""Integrated"" email will be sent.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vcy3:",9223372036854775807,,,,,,,,,,,,,,"2021-12-14 08:34;roboduke;Changeset: 2ed56ac1
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2021-12-14 16:34:39 +0000
URL:       https://git.openjdk.java.net/skara/commit/2ed56ac14c73f118b3acb423402ff160b93eecb8
;;;",,,,,,,,,,,,,,,,,,,,
An unknown sub-command gives a confusing error message,SKARA-1275,5064320,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,gli,gli,gli,2021-12-08 05:58,2021-12-20 06:14,2023-10-01 09:57,2021-12-20 06:14,,,,,,,,,,,,,,1.0,cli,,0,,,,,,,,,,,,,,,,,"When using the the unknown sub-command, the client will execute the default command which can output the unexpected message.

The right behavior:

```
$ git-pr lis

error: unknown sub-command: lis

Available sub-commands are:
// Ignore the following output.
```

The wrong behavior:

```
$ git-pr lis 123

error: unexpected input: 123   // <-- here wrong
usage: git-pr [options] [<COMMAND>]
	-h, --help      Show help
	    --verbose   Turn on verbose output
	    --debug     Turn on debugging output
	    --version   Print the version of this tool
```

The default sub-command is `git-pr help`, so when the client doesn't identify the sub-command `git-pr lis`, it will execute `git-pr help` and will pass `lis 123` as the argument to the `git-pr help` command. And the `git-pr help` can resolve only one argument, which is `lis` in this example, so it would output `error: unexpected input: 123`. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vbx7:",9223372036854775807,,,,,,,,,,,,,,"2021-12-20 06:14;roboduke;Changeset: 649dd3cf
Author:    Guoxiong Li <gli@openjdk.org>
Committer: Erik Joelsson <erikj@openjdk.org>
Date:      2021-12-20 14:14:19 +0000
URL:       https://git.openjdk.java.net/skara/commit/649dd3cf73e2feed6ba330966f3d6108e56585f5
;;;",,,,,,,,,,,,,,,,,,,,
The help message of the 'git-pr' sub-command misses the sub-command name,SKARA-1274,5064313,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,gli,gli,gli,2021-12-08 04:56,2021-12-16 14:44,2023-10-01 09:57,2021-12-16 14:44,,,,,,,,,,,,,,1.0,cli,,0,,,,,,,,,,,,,,,,,"When we use the 'git-pr' sub-command, such as `git-pr list -h`, the output information missed the command name `list`.

```
$ git-pr list -h

usage: git-pr [options] [<ID>]  // <---- Here miss the `list`
      // Ignore the following output.
```

The first line `usage: git-pr [options] [<ID>]` should be `usage: git-pr list [options] [<ID>]`.

The wrong sub-command is listed below:

git-pr apply
git-pr approve // will change to git-pr review
git-pr checkout
git-pr close
git-pr create
git-pr fetch
git-pr help
git-pr info
git-pr integrate
git-pr issue
git-pr list
git-pr set
git-pr show
git-pr sponsor
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vbvn:",9223372036854775807,,,,,,,,,,,,,,"2021-12-08 05:26;gli;Because the `git-pr approve` will change to `git-pr review`. So I would like to fix this issue after solving SKARA-713.;;;","2021-12-16 14:44;roboduke;Changeset: 2e9fd5f8
Author:    Guoxiong Li <gli@openjdk.org>
Committer: Erik Joelsson <erikj@openjdk.org>
Date:      2021-12-16 22:44:26 +0000
URL:       https://git.openjdk.java.net/skara/commit/2e9fd5f8f46ba742e4d5c8cf4cc45c1741182271
;;;",,,,,,,,,,,,,,,,,,,
Handle Jira host with path element in URL,SKARA-1269,5064096,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,erikj,erikj,2021-12-03 13:52,2021-12-08 06:38,2023-10-01 09:57,2021-12-08 06:38,,,,,,,,,,,,,,1.0,libraries,,0,,,,,,,,,,,,,,,,,"The IssueTracker/JiraHost classes in Skara make the assumption that the base URL for Jira is just a hostname with no path. In order to use Skara with a Jira instance with a URL that has a path element, this needs to be fixed.

Instead of always basing REST call URLs on the configured base path and appending to it, there are many cases where the URIBuilder::setPath is used instead, which overwrites any existing path element. This is especially troublesome when combined with using IssueProject::webUrl as the base for these URLs.

I would like to fix this by adding a supported way of getting the base URI from an IssueTracker (IssueTracker::uri), replace all uses of ::webUrl for constructing other URLs with this new call, and replacing all ::setPath with ::appendPath.

This change will require all configurations to be careful not to add a trailing slash to the URL for the Jira instance.",,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2vajf:",9223372036854775807,,,,,,,,,,,,,,"2021-12-08 06:38;roboduke;Changeset: 57c88f57
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2021-12-08 14:38:20 +0000
URL:       https://git.openjdk.java.net/skara/commit/57c88f57681bacb96ba1ded9670562e5faec7943
;;;",,,,,,,,,,,,,,,,,,,,
New CSR link warns that issue isn't open,SKARA-1265,5063882,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,gli,erikj,erikj,2021-12-01 09:15,2022-04-26 04:25,2023-10-01 09:57,2021-12-02 06:36,,,,,,,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,"See https://github.com/openjdk/jdk/pull/5076 for an example. We expect the CSR issue to be closed, so this warning should not be visible.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-286,SKARA-1411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2v98z:",9223372036854775807,,,,,,,,,,,,,,"2021-12-01 10:05;erikj;[~gli] Could you take a look?;;;","2021-12-01 10:51;gli;Yes, I will assign this task to myself.;;;","2021-12-02 06:36;roboduke;Changeset: 3d48ff8c
Author:    Guoxiong Li <gli@openjdk.org>
Committer: Erik Joelsson <erikj@openjdk.org>
Date:      2021-12-02 14:35:58 +0000
URL:       https://git.openjdk.java.net/skara/commit/3d48ff8c0c1571ee1af0548bc654a8183f5e8d4e
;;;",,,,,,,,,,,,,,,,,,
The pre-submit test fails intermittently,SKARA-1264,5063863,Bug,Closed,SKARA,Skara,software,darcy,,,P4,Fixed,,gli,gli,2021-12-01 05:23,2021-12-14 10:00,2023-10-01 09:57,2021-12-14 10:00,,,,,,,,,,,,,,,bots,,0,intermittent,,,,,,,,,,,,,,,,"During solving the issue SKARA-1254, I found the pre-submit test failed[1]. So I try to re-run it. The pre-submit test passed at this time[2].

The corresponding failed log is shown below:

```
> Task :jcheck:test FAILED
120 tests completed, 3 failed

JCheckTests > checkRemoval(VCS) > org.openjdk.skara.jcheck.JCheckTests.checkRemoval(VCS)[2] FAILED
    java.io.UncheckedIOException: java.io.IOException: Num headers (1) differ from num hunks (0)
        at org.openjdk.skara.vcs/org.openjdk.skara.vcs.hg.HgCommitIterator.next(HgCommitIterator.java:83)
        at org.openjdk.skara.vcs/org.openjdk.skara.vcs.hg.HgCommitIterator.next(HgCommitIterator.java:34)
        at org.openjdk.skara.jcheck/org.openjdk.skara.jcheck.iterators.MapIterator.next(MapIterator.java:45)
        at org.openjdk.skara.jcheck/org.openjdk.skara.jcheck.iterators.FlatMapIterator.hasNext(FlatMapIterator.java:46)
        at org.openjdk.skara.jcheck/org.openjdk.skara.jcheck.iterators.ConcatIterator.hasNext(ConcatIterator.java:39)
        at org.openjdk.skara.jcheck/org.openjdk.skara.jcheck.JCheckTests.checkRemoval(JCheckTests.java:295)

        Caused by:
        java.io.IOException: Num headers (1) differ from num hunks (0)
            at org.openjdk.skara.vcs/org.openjdk.skara.vcs.tools.GitRawDiffParser.parse(GitRawDiffParser.java:212)
            at org.openjdk.skara.vcs/org.openjdk.skara.vcs.hg.HgCommitIterator.next(HgCommitIterator.java:71)
            ... 5 more
Test report disabled, omitting generation of the HTML test report.
:jcheck:test (Thread[Daemon worker,5,main]) completed. Took 22.882 secs.
Gradle Test Executor 14 finished executing tests.
```

It seems the bug is only in mac and may be related to concurrency.

[1] https://github.com/lgxbslgx/skara/actions/runs/1525457193/attempts/1
[2] https://github.com/lgxbslgx/skara/actions/runs/1525457193/attempts/2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2v94r:",9223372036854775807,,,,,,,,,,,,,,"2021-12-01 09:03;gli;This tests failed again just now [1]. And the error log is the same.

It is in SKARA-1256 this time. So we can confirm that it is not related to SKARA-1256 or SKARA-1254.

[1] https://github.com/lgxbslgx/skara/actions/runs/1526780541/attempts/1;;;","2021-12-02 01:16;gli;The issue occured again. https://github.com/lgxbslgx/skara/actions/runs/1529638979/attempts/1;;;","2021-12-09 08:44;gli;The issue has always occured in the pre-submit tests. Maybe we should improve the priority and solve it as soon as possible. Could anyone who has a mac environment help analyze this bug?

Or we can just ignore the related test cases in the code to prevent the pre-submit tests failing.;;;","2021-12-14 10:00;erikj;This is the same failure as in SKARA-1283.;;;",,,,,,,,,,,,,,,,,
Add GitHub User fg1417,SKARA-1262,5063834,Bug,Closed,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,fgao,fgao,2021-12-01 01:32,2021-12-07 21:54,2023-10-01 09:57,2021-12-01 05:21,,,,,,,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,"My openjdk ID: fgao
My github user ID: fg1417

Please record this switch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2v8yb:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user zhengxiaolinX,SKARA-1259,5063696,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,xlinzheng,xlinzheng,2021-11-29 18:26,2021-11-29 18:43,2023-10-01 09:57,2021-11-29 18:43,,,,,,,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,"Please associate my GitHub account with my OpenJDK identity.

https://github.com/zhengxiaolinX
https://openjdk.java.net/census#xlinzheng

Thanks --",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2v83n:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user feilongjiang,SKARA-1255,5063480,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,kcr,fjiang,fjiang,2021-11-24 17:06,2021-11-24 18:09,2023-10-01 09:57,2021-11-24 18:08,,,,,,,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,"Please associate my GitHub account with my OpenJDK identity.

https://github.com/feilongjiang
https://openjdk.java.net/census#fjiang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2v6rn:",9223372036854775807,,,,,,,,,,,,,,"2021-11-24 18:09;kcr;Done.;;;",,,,,,,,,,,,,,,,,,,,
Add GitHub user tprinzing,SKARA-1250,5063023,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,tprinzing,tprinzing,2021-11-18 12:32,2022-06-01 05:59,2023-10-01 09:57,2022-06-01 05:59,,,,,,,,,,,,,,,bots,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2v3yb:",9223372036854775807,,,,,,,,,,,,,,"2021-11-18 12:45;erikj;This association cannot happen until you have an OpenJDK user name to associate your GitHub user with.;;;","2021-11-18 12:53;erikj;You may reopen this once you have an OpenJDK username.;;;","2021-11-18 13:35;tprinzing;I do have a PR stuck on the OCA: https://github.com/openjdk/jdk/pull/6443 using /covered;;;","2022-06-01 05:50;erikj;I noticed that the openjdk username is now there.;;;",,,,,,,,,,,,,,,,,
