Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Sprint,Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Skara: TagCommand creates malformed Markdown link,SKARA-1206,5060066,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,gli,webbuggrp,webbuggrp,2021-10-09 19:32,2021-11-22 09:15,2023-10-01 09:57,2021-11-22 09:15,,,,,,,,1.0,bots,,0,dcsaw,webbug,,,,,,,,,,,,,,,,,,,,"A DESCRIPTION OF THE PROBLEM :
It looks like Skara's TagCommand creates a malformed Markdown link, see https://github.com/openjdk/skara/blob/c731445ce5dc110ad1967c8f6b1e7065a49c4f9e/bots/pr/src/main/java/org/openjdk/skara/bots/pr/TagCommand.java#L97

It appends a square bracket ']' instead of a parenthesis ')' after the `hashUrl`.


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2ulr7:",9223372036854775807,,,,,,,,,,,,,"2021-11-22 09:15;roboduke;Changeset: 7367e956
Author:    Guoxiong Li <gli@openjdk.org>
Committer: Erik Joelsson <erikj@openjdk.org>
Date:      2021-11-22 17:15:20 +0000
URL:       https://git.openjdk.java.net/skara/commit/7367e956982a3095a9c5716595af030af608081f
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Skara bot fails to update role in jdk-sandbox or jfx-sandbox for new Committer in census,SKARA-1205,5059838,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,kcr,kcr,2021-10-05 14:48,2022-12-09 14:26,2023-10-01 09:57,2022-12-08 14:24,,,,,,,,,bots,,0,,,,,,,,,,,,,,,,,,,,,,"The following OpenJDK user was recently granted the Committer role in the openjfx project in the OpenJDK census:

https://openjdk.java.net/census#tsayao

The openjdk/jfx-sandbox repo is configured to grant write access to all users with the Committer role (or higher) in the project, but his access was not updated, and he is not able to push to that repo.

I will manually grant him write access to that repo, but the Skara bot should do this automatically.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2ukcj:",9223372036854775807,,,,,,,,,,,,,"2022-06-24 08:57;kcr;This also happened to at least one (and likely many more) user in the jdk-sandbox:

https://openjdk.org/census#asotona;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user savoptik,SKARA-1203,5059729,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,kcr,asemenov,asemenov,2021-10-04 05:27,2021-10-04 07:41,2023-10-01 09:57,2021-10-04 07:41,,,,,,,,,bots,,0,,,,,,,,,,,,,,,,,,,,,,"Please associate my GitHub account with my OpenJDK identity. 

https://github.com/savoptik
https://openjdk.java.net/census#asemenov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2ujob:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple command reply messages include 'HostUserDetails',SKARA-1201,5059509,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,ihse,webbuggrp,webbuggrp,2021-09-29 15:32,2021-10-06 23:23,2023-10-01 09:57,2021-10-06 23:23,,,,,,,,1.0,bots,,0,webbug,,,,,,,,,,,,,,,,,,,,,"A DESCRIPTION OF THE PROBLEM :
The command reply of multiple commands erroneously (?) contains `@HostUserDetails{...}`, for example https://github.com/openjdk/jdk/pull/4382#issuecomment-901430117

The issue appears to be that some commands print '@' followed by the `HostUser`. At least for pull request commands this seems to be redundant because PullRequestCommandWorkItem.processCommand already includes that.

For commit commands the situation is slightly different because CommitCommandWorkItem.processCommand is apparently not adding the prefix `@username`.

It might therefore be good to:
(- Adjust CommitCommandWorkItem.processCommand to always print `@username ` as prefix similar to PullRequestCommandWorkItem)
- Remove all `@username` printing in pull request (and commit) command implementations



",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2uibf:",9223372036854775807,,,,,,,,,,,,,"2021-10-05 04:46;ihse;HostUser:::toString is responsible for printing these ""HostUserDetails{...}"" messages. Apparently we get a HostUser object in multiple places (at least confirmed for the `/open` command, as the example in the bug report shows), and just appends it to a string, hoping that it will return just the user name.

It is not clear to me if the best approach is to change toString to do just that, or if we should fix all instances. The former is probably more robust.;;;","2021-10-06 23:23;roboduke;Changeset: c731445c
Author:    Magnus Ihse Bursie <ihse@openjdk.org>
Date:      2021-10-07 06:22:38 +0000
URL:       https://git.openjdk.java.net/skara/commit/c731445ce5dc110ad1967c8f6b1e7065a49c4f9e
;;;",,,,,,,,,,,,,,,,,,,,,,,,
Label changes from java.nio.** as nio,SKARA-1197,5059489,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,prappo,prappo,prappo,2021-09-29 06:57,2021-09-30 04:14,2023-10-01 09:57,2021-09-30 04:14,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,,,"I've recently filed two PRs that exclusively changed classes in the java.nio.file package. Neither PR was automatically labelled by the bot. Every time I got this message:

@pavelrappo To determine the appropriate audience for reviewing this pull request, one or more labels corresponding to different subsystems will normally be applied automatically. However, no automatic labelling rule matches the changes in this pull request. In order to have an ""RFR"" email sent to the correct mailing list, you will need to add one or more applicable labels manually using the /label pull request command.

Please fix this. I presume, that the respective rule should include java.nio.** (java.nio and all its ""subpackages"").",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2ui6z:",9223372036854775807,,,,,,,,,,,,,"2021-09-29 06:59;alanb;Looks like src/java.base/\\w+/classes/java/nio/ is missing from the ""nio"" element.;;;","2021-09-29 07:06;prappo;Here are the PRs mentioned in the description:
 
  1. https://git.openjdk.java.net/jdk/pull/5649
  2. https://git.openjdk.java.net/jdk/pull/5749 ;;;","2021-09-30 04:14;roboduke;Changeset: acda2667
Author:    Pavel Rappo <prappo@openjdk.org>
Committer: Magnus Ihse Bursie <ihse@openjdk.org>
Date:      2021-09-30 11:14:12 +0000
URL:       https://git.openjdk.java.net/skara/commit/acda266705b101b0905aa10de5f31670003ed2c4
;;;",,,,,,,,,,,,,,,,,,,,,,,
CommitCommentWorkItem overwhelms scheduler,SKARA-1191,5059320,Bug,Resolved,SKARA,Skara,software,darcy,,,P2,Fixed,erikj,erikj,erikj,2021-09-27 06:51,2021-09-28 05:43,2023-10-01 09:57,2021-09-28 05:43,1.0,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,,,"Recently, we have seen the PR bot getting slowed down to a crawl, taking hours responding to updates in PRs (e.g. SKARA-1178). I believe I have finally found the cause. The scheduler is slowly getting filled up with CommitCommentWorkItems.

A CommitCommentWorkItem is scheduled for each repository every time PullRequestBot::getPeriodicItems is called, which is every 10 seconds. So unless we are able to process these for every repository in 10 seconds, they will start to pile up. Until recently, we probably could, but the more repositories we create, the more of these get scheduled.

The defense for this is the WorkItem::concurrentWith method, which is supposed to protect both WorkItems that touch the same data from getting into races, but also to avoid keeping duplicate WorkItems in the pending queue. In the case of CommitCommentWorkItem, ::concurrentWith just returns true, so there is no protection against flooding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2uh5f:",9223372036854775807,,,,,,,,,,,,,"2021-09-28 05:43;roboduke;Changeset: 91be684a
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2021-09-28 12:43:15 +0000
URL:       https://git.openjdk.java.net/skara/commit/91be684a5dec13840b9fba9d8dbb23c1a6dc0beb
;;;",,,,,,,,,,,,,,,,,,,,,,,,,
The pr/NNNN branches are not always deleted when a PR is closed,SKARA-1188,5059149,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,gli,kcr,kcr,2021-09-23 13:19,2022-11-17 06:26,2023-10-01 09:57,2021-11-22 09:15,1.0,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,,,"Skara creates a pr/NNNN branch for every PR once it becomes ""rfr"", in support of dependent PRs. It deletes them when the PR is closed. In at least one case, this didn't happen:

https://github.com/openjdk/jdk/pull/3855
https://github.com/openjdk/jdk/tree/pr/3855

The PR was closed on May 5, but the branch is still present in openjdk/jdk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2ug3f:",9223372036854775807,,,,,,,,,,,,,"2021-09-23 13:22;kcr;Two other cases:

https://github.com/openjdk/jdk/pull/4035
https://github.com/openjdk/jdk/tree/pr/4035

https://github.com/openjdk/jdk/pull/4408
https://github.com/openjdk/jdk/tree/pr/4408;;;","2021-11-22 09:15;roboduke;Changeset: e951b64e
Author:    Guoxiong Li <gli@openjdk.org>
Committer: Erik Joelsson <erikj@openjdk.org>
Date:      2021-11-22 17:14:54 +0000
URL:       https://git.openjdk.java.net/skara/commit/e951b64e020941414866d292c81594e42e43243a
;;;",,,,,,,,,,,,,,,,,,,,,,,,
Backport command stopped working on Gitlab,SKARA-1186,5059071,Bug,Resolved,SKARA,Skara,software,darcy,,,P2,Fixed,ihse,erikj,erikj,2021-09-22 13:51,2021-10-06 03:54,2023-10-01 09:57,2021-10-06 03:54,,,,,,,,1.0,libraries,,0,,,,,,,,,,,,,,,,,,,,,,"It seems a new version of Gitlab is causing us to fail the /backport command. Here is the stack trace from the log:

org.openjdk.skara.network.UncheckedRestException: Request returned bad status: 415
	at org.openjdk.skara.network/org.openjdk.skara.network.RestRequest.transformBadResponse(RestRequest.java:326)
	at org.openjdk.skara.network/org.openjdk.skara.network.RestRequest.execute(RestRequest.java:403)
	at org.openjdk.skara.network/org.openjdk.skara.network.RestRequest$QueryBuilder.execute(RestRequest.java:189)
	at org.openjdk.skara.forge/org.openjdk.skara.forge.gitlab.GitLabRepository.addCollaborator(GitLabRepository.java:585)
	at org.openjdk.skara.bots.pr/org.openjdk.skara.bots.pr.BackportCommand.handle(BackportCommand.java:168)
	at org.openjdk.skara.bots.pr/org.openjdk.skara.bots.pr.CommitCommandWorkItem.processCommand(CommitCommandWorkItem.java:131)
	at org.openjdk.skara.bots.pr/org.openjdk.skara.bots.pr.CommitCommandWorkItem.run(CommitCommandWorkItem.java:171)
	at org.openjdk.skara.bot/org.openjdk.skara.bot.BotRunner$RunnableWorkItem.runMeasured(BotRunner.java:190)
	at org.openjdk.skara.bot/org.openjdk.skara.bot.BotRunner$RunnableWorkItem.run(BotRunner.java:146)
	at java.base/java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:515)
	at java.base/java.util.concurrent.FutureTask.run(FutureTask.java:264)
	at java.base/java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:304)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1130)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:630)
	at java.base/java.lang.Thread.run(Thread.java:831)

It looks like the rest request we use to add a collaborator to the fork repository is failing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2ufm3:",9223372036854775807,,,,,,,,,,,,,"2021-10-05 03:48;ihse;HTTP status code 415 is "" Unsupported Media Type"". A quick googling indicates that a common source of this error is content-type encoding issues, especially with json. I'm looking into exactly how we are doing the request.;;;","2021-10-05 03:53;ihse;Well, it's one of these ""how can this ever have worked???"" bugs:

        var accessLevel = canPush ? ""30"" : ""20"";
        var data = ""user_id="" + user.id() + ""&access_level="" + accessLevel;
        request.post(""members"")
               .body(data)
               .execute();

I'm pretty certain the body of the POST request should not be a ""user_id=nn&access_level=yy"" string, but a json object. That looks more like a GET request. I'll try to find up to date gitlab API documentation.;;;","2021-10-05 04:05;ihse;Actually, this is correct according to the documentation: https://docs.gitlab.com/ee/api/members.html. The main suspect right now is that the Content-Type is not set when sending ""raw POST data"", and this is afaict, the only place where we do so in GitLabRepository.java. Maybe we need a content type even for raw data, and not just json?;;;","2021-10-06 03:54;roboduke;Changeset: dc477842
Author:    Magnus Ihse Bursie <ihse@openjdk.org>
Date:      2021-10-06 10:54:28 +0000
URL:       https://git.openjdk.java.net/skara/commit/dc47784296aa6daee79745fbe1897db6e3aa45be
;;;",,,,,,,,,,,,,,,,,,,,,,
Failure to retrieve the JBS bug should be an integration blocker,SKARA-1184,5058979,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,kcr,kcr,2021-09-21 11:28,2022-01-25 15:28,2023-10-01 09:57,2021-10-25 06:38,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,,,,,,,,,"For a PR in a project that is configured to use JBS, Skara will retrieve the JBS bug and do various things with it:

1. Check the issue type (must be Bug, Enhancement, New Feature, Task, or Sub-task)
2. Check that the title of the bug matches the title of the PR
3. Adds links in the JBS bug for the core review
4. Resolved the bug as ""Fixed"" when the PR is integrated, adding a link to the commit

When the JBS bug is not accessible, which usually happens when the bug is Confidential, the above checks cannot be done. In addition to the bug not being resolved properly, it complicated creating a backport of that bug.

Currently, such a failure is a warning, but will not block integration. We should make this an integration blocker along with many similar conditions.

See this thread [1] in jdk-dev for a recent example.

[1] https://mail.openjdk.java.net/pipermail/jdk-dev/2021-September/006061.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKARA-752,,,,,SKARA-1225,,,,,SKARA-1330,,,,,,,,,,,,,,,,,,,,,,,,"0|i2uf1n:",9223372036854775807,,,,,,,,,,,,,"2021-09-21 11:41;kcr;One possible case to consider is when JBS is down for maintenance, but I think the bots are stuck in that case anyway.;;;","2021-09-22 01:09;sgehwolf;Should there be a need for allowing a closed issue, implementing a skara bot command to override the integration blocker would be preferred rather than keeping the status quo (warning on the issue of the PR which can be easily missed).;;;","2021-10-15 06:50;erikj;I agree with Severin, an overriding command would cover any actual need for using a confidential bug.

Regarding what happens in JBS is down. Currently it's possible to /integrate a PR with JBS down. Notification is a separate step handled by a different bot and will happen once JBS is up again. I do believe that changing a PR to RFR would be blocked if JBS was down, as it wouldn't be able to verify the bug number and fetch the correct title, but I'm not sure. I will need to investigate to figure out exactly what the consequences will be to support this feature.;;;","2021-10-25 06:38;roboduke;Changeset: e2db496a
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2021-10-25 13:37:44 +0000
URL:       https://git.openjdk.java.net/skara/commit/e2db496a0d28318125c263fe167f345698d65572
;;;","2021-10-25 06:46;clanger;Is the integration blocker now active with this change? As I see it, there's also no override command, correct?;;;","2021-10-25 08:18;erikj;The change has been integrated but not yet deployed live. I have not implemented an override command. I can file a followup for that.;;;","2021-10-25 08:23;clanger;OK, thanks. I guess us folks from outside Oracle wouldn't need the override, though. So the followup is not needed from my end.;;;","2021-10-26 09:13;erikj;The change went live yesterday afternoon PT.;;;",,,,,,,,,,,,,,,,,,
Mirroring of jfx:master to jfx-sandbox:master is not working,SKARA-1175,5058625,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,kcr,kcr,kcr,2021-09-15 07:05,2021-09-15 08:40,2023-10-01 09:57,2021-09-15 08:40,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,"The Skara bots should continuously mirror the jfx:master branch to jfx-sandbox:master, but the latter is out of date.

https://github.com/openjdk/jfx/commits/master
https://github.com/openjdk/jfx-sandbox/commits/master

The changes pushed in the last couple of days to jfx:master aren't reflected in the jfx-sandbox.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2ucuz:",9223372036854775807,,,,,,,,,,,,,"2021-09-15 08:02;erikj;This error keeps being posted in the log:

remote: error: GH006: Protected branch update failed for refs/heads/master.        
remote: error: You're not authorized to push to this branch. Visit https://docs.github.com/articles/about-protected-branches/ for more information. ;;;","2021-09-15 08:40;kcr;This was a misconfiguration in the repo itself, which has since been corrected. it is working now.;;;",,,,,,,,,,,,,,,,,,,,,,,,
