Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Sprint,Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Add GitHub user masyano,SKARA-1078,5051650,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,myano,myano,2021-06-11 05:47,2021-06-11 06:12,2023-10-01 09:57,2021-06-11 06:12,,,,,,,,,admin,,0,,,,,,,,,,,,,,"Please add my github account ""masyano"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2t6pn:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not possible to use 'Backport <sha>' if original bug doesn't have public sha,SKARA-1076,5051573,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,sgehwolf,sgehwolf,2021-06-10 07:40,2021-06-14 13:54,2023-10-01 09:57,2021-06-14 13:00,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"Since using SKARA for jdk11u-dev, we've noticed that we no longer can use Oracle JDK 11u fixed bugs a ref for OpenJDK equivalents. Example bug here:
https://bugs.openjdk.java.net/browse/JDK-8251945

Pre-skara we'd just use ""8251945: SIGSEGV in PackageEntry::purge_qualified_exports()"" in the commit message and HG-updater would have been smart enough to create a backport bug on push.

With Skara we end up having the problem of needing a <sha> to reference. But those are hidden for Oracle JDK 11/8 bugs. If somebody was to create a PR referencing the already closed issue, bots would complain with ""Issue is not open."" warning. What's more, the PR gets linked as ""Review"" in the closed bug. Example PR:
https://github.com/openjdk/jdk11u-dev/pull/22

We'd need some alternative way to use such bugs for creating a backport using Skara.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2t68j:",9223372036854775807,,,,,,,,,,,,,"2021-06-10 07:41;sgehwolf;Not sure which component to use for this, so used ""libraries"".;;;","2021-06-10 11:17;kcr;If you don't have a sha hash, then can't you just do it as an ordinary PR using the main JBS bug ID? Skara will still create the backport record as needed. I'm not sure what the advantage would be of using a backport PR in the case where there is no public hash for a later code line.;;;","2021-06-10 11:37;erikj;Did the failed check actually prevent you from proceeding with the review? From what I can tell the ""Issue is not open"" is just listed as a warning and will not prevent you from integrating. The backport issue will not be created until you actually integrate, so the PR link can't go anywhere until you do so. 

Could you try just going ahead as if the warning wasn't there?;;;","2021-06-11 00:50;sgehwolf;[~kcr] I'm not sure what you mean. For JDK-8251945 that's the ""main"" bug. It has Fixed in Version ""11.0.10-oracle"" and no public sha. AFAIK, there is no equivalent bug in later JDKs as it's a 11u only problem. So https://github.com/openjdk/jdk11u-dev/pull/22 is, I believe, what you suggested and gave the warning.;;;","2021-06-11 00:57;sgehwolf;[~erikj] It doesn't prevent us from proceeding with the review. The concern was whether or not it would let us integrate or break otherwise in some weird way. We just didn't want to proceed with the warning present. What's more, the intention would be for this to be a backport of JDK-8251945 and we'd like to have the same/similar checks present as if it was a backport. Admittedly it cannot do all of them as there is no sha to begin with, but it should at least make the backport label show up. Either way, we've moved on to using JDK-8268523 instead. That's less risky.

As to the review link it added it fine to JDK-8251945 (pointing to https://github.com/openjdk/jdk11u-dev/pull/22).;;;","2021-06-11 05:35;erikj;I understand your concern and hesitation, but if possible, could you try going back to the original bug and PR and see if it works? If not with this PR, can you please try it with the next one? I'm pretty sure it will work if you just ignore the warning from reading the Skara source, but would like confirmation. If something goes wrong, we can always fix it. Without a sha, there really is nothing else that the backport checks can do, so you aren't losing out on anything. 

I do think we need a way for you to declare the PR a backport to get rid of the warning, but that shouldn't stop you from doing your work today.;;;","2021-06-11 05:55;sgehwolf;Looping in [~zgu]. Zhengyu, do you want to try what Erik said? I guess it would mean to create a new-similar one to PR#22.;;;","2021-06-11 06:02;erikj;You should be able to reopen 22 and just continue where you left off.;;;","2021-06-11 06:24;kcr;Presuming the reopened PR is integrated with no problems (and like Erik, I don't see any reason why not), I have an idea to help prevent this confusion in the future. The warning is primarily useful for the mainline jdk repo where it usually is a mistake to use a JBS bug ID that has been resolved. Perhaps we could consider adding a jcheck config parameter that could be enabled for update release repos to either soften or eliminate the warning for PRs in those repos?;;;","2021-06-11 06:33;erikj;That is one way of solving it. I was thinking of allowing either the /label command to let you add the backport label, or let the (already existing for commits) /backport command be used for adding the label on a PR. The warning text would then be altered to suggest using that command if that was the intention. We could perhaps also allow a title of ""Backport <issue>"" to initiate a backport PR without a sha.;;;","2021-06-11 06:43;kcr;In this case, I don't think the generated commit should have the Backport metadata, so it might be a bit odd to use the backport PR type. Basically the backport PR type and commit annotation is a way to say ""I'm backporting a fix and you can see the original fix HERE"". Maybe you could overload the backport PR type in the case of no sha, but I'm not sure I see the benefit. I might be missing something.
;;;","2021-06-11 06:58;erikj;From an implementation point of view, there are 2 aspects to a PR of ""backport"" type. The label ""backport"" and a PR comment with a hidden HTML comment that contains the original hash which will be put in the commit message. The ""backport"" label is used for two things:

1. Wether to print the warning about the issue not being open.
2. Wether to allow the /clean command to be run to mark a backport ""clean"".

The backport comment where the sha is recorded is used when creating the final commit message. If such a PR comment is found, then the Backport-of part of the message is added.

I do believe that having a warning that the issue you are trying to use is closed is generally a good thing. Unless you know you are doing a backport, then it's likely an error. Having some way of declaring this intent helps preventing mistakes. Implementation wise, treating the kind of change referenced above as a PR labeled as ""backport"" works fine and would provide a way of declaring that intent. It would not add the Backport-of line in the commit message as we don't have that information. I also think it makes sense to classify such a PR a backport because that is how the users think about them, and the BUG will be a backport in JBS, so it ties things better together.;;;","2021-06-11 07:36;kcr;OK, that makes sense to me. So then the question is back to the one you raised earlier: How best for contributors to indicate that a PR is a backport of a bug that doesn't have a publicly visible hash. I think your idea of recognizing ""Backport BugID"" is a good one. My only slight worry is that some will mistakenly use that form in the case where there is a publicly visible hash.;;;","2021-06-11 09:30;erikj;That is indeed a concern. I can add something that points this out in the comment that the bot adds when rewriting the title. It currently reads (where commit is a link):

""This backport pull request has now been updated with issue from the original commit.""

When initiated from an issue ID instead, it could read something like:

""This backport pull request has now been updated with the original issue, but not the original commit. If you have the original commit hash, please update the PR title with `Backport <hash>`.""
;;;","2021-06-12 07:46;kcr;Regarding your earlier comment about the ""backport"" label being used to support the '/clean' command: For the case of no public SHA hash, Skara should not allow a Committer to declare it as clean. There isn't any way for anyone -- including the contributor -- to know whether or not it is clean. For the case being covered by this fix, there isn't a public patch to look at in the first place.
;;;","2021-06-14 13:00;roboduke;Changeset: ec8b6637
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2021-06-14 19:59:51 +0000
URL:       https://git.openjdk.java.net/skara/commit/ec8b6637f3703810a51f48eb0e91b3e153175115
;;;","2021-06-14 13:40;erikj;This fix is now live. Going to update wiki. Done.;;;",,,,,,,,,,,,,,,,,
Skara should validate the commit hash of a Backport PR,SKARA-1072,5051290,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,kcr,kcr,2021-06-07 11:17,2021-06-09 07:58,2023-10-01 09:57,2021-06-09 07:58,1.0,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"A Skara backport PR is identified by the title:

Backport LONG-COMMIT-HASH

Where `LONG-COMMIT-HASH` is the 40 character hash of the commit being backported. Skara will search for this, but does not check that the commit it finds is valid. In particular, it will accept the commit hash of a commit in the PR itself, meaning the commit in the personal fork of the repo to which the fix is being backported, rather than an existing commit in an actual release repo as is intended. This can lead Skara to incorrectly mark the backport as clean and possibly to use the wrong bug ID. It will cause a bogus commit hash (one that isn't in any mainline repo) to be recorded in the final commit meta-data.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2t4hn:",9223372036854775807,,,,,,,,,,,,,"2021-06-07 15:04;erikj;This is tricky. Currently Skara does a search on the server to find the commit from the hash value, and if something is found, that commit message is used. We can certainly check explicitly that the hash is not part of the PR itself. Any other checks I'm not sure we can really do. Can you think of any other hash that is ever likely to be considered ""clean"" when compared to the change the user has provided?;;;","2021-06-07 15:12;kcr;Hard to say. Checking that it is part of the PR might be enough for the most common cases. The only other thing I can think of is to have a list of repos that you check to see whether it is present in one of them.
;;;","2021-06-07 16:05;erikj;I think that if you manage to put in a hash for a completely unrelated repo, like say jfx instead of jdk, the bugID you match and the subsequent title of the PR should throw any user off, even if only half awake. The specific problem triggered here was that the PR change itself is likely to have the same bugId and will be guaranteed to be classed as clean. I think adding my proposed check, combined with the existing checks, should make this good enough. At least until we are proven otherwise by the next user mistake. Posting review in a few.;;;","2021-06-07 16:10;kcr;That seems a reasonable step. As you say, we can file a new issue later if it becomes a problem.;;;","2021-06-08 16:17;erikj;We found another instance of this issue, which highlighted another, related, problem. If a proposed backport (or any change for that matter, but backports seem more likely) has already been done, basically making the changes in the PR redundant when merged with the target, this wasn't handled well today. I have added a check for this as well.;;;","2021-06-09 07:58;roboduke;Changeset: 5b081a79
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2021-06-09 14:58:10 +0000
URL:       https://git.openjdk.java.net/skara/commit/5b081a7954c53ecb9e74fea4a89b039885677fbe
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
An invalid /backport command target causes bot to fail endlessly,SKARA-1070,5051155,Bug,Resolved,SKARA,Skara,software,darcy,,,P2,Fixed,erikj,erikj,erikj,2021-06-04 06:29,2021-06-07 06:11,2023-10-01 09:57,2021-06-07 06:11,1.0,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"A user added the comment ""/backport jdk11u"" to this commit: 
https://github.com/openjdk/jdk/commit/d47a77d2d54ee8c41ef969b42b3336a646dffd7b

This is causing the PR bot to endlessly fail because it can't look up a fork for ""jdk11u"". The correct target for the backport should be jdk11u-dev, which we migrated to github the other day.

The issue I want to fix here is that the bot should realize the the error and give an appropriate response rather than fail endlessly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2t3nn:",9223372036854775807,,,,,,,,,,,,,"2021-06-07 06:11;roboduke;Changeset: 2b30c7e0
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2021-06-07 13:11:17 +0000
URL:       https://git.openjdk.java.net/skara/commit/2b30c7e0cd2063fa7a658772cada5c1ffd6ba797
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR ends up in bad state if interrupted just after push,SKARA-1069,5051053,Bug,Resolved,SKARA,Skara,software,darcy,,,P3,Fixed,erikj,erikj,erikj,2021-06-03 05:39,2021-06-09 13:50,2023-10-01 09:57,2021-06-09 13:50,1.0,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"Yesterday I restarted the PR bot while it was processing https://github.com/openjdk/jdk/pull/4315. Looking at the logs, it just finished pushing the change to the JDK repo and then the bot was restarted. When it came back up, it didn't manage to continue correctly where it left off and the PR was closed with the message: 

""@jonathan-gibbons Warning! Your commit did not result in any changes! No push attempt will be made.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2t30z:",9223372036854775807,,,,,,,,,,,,,"2021-06-04 06:00;erikj;The core of the problem here is that after pushing the commit to the target branch, the only connection between the commit and the PR is the hash that we eventually store in a comment in the PR. In the above situation, the bot was killed after the push, but before the comment was added. If that happens, there really is nothing we can do to recover on the next run of the IntegrateCommand. We could implement some very elaborate code to try to look for an integrated commit in the target branch, but this would be error prone as all we would have to go on is the commit message, and we can't be sure that wouldn't change, if for example another reviewer were to be added.

Instead, I think we need to change the order of things. When the commit is ready to be pushed, we should add a comment saying something like ""Going to push as commit <hash>"", then do the push and after that, update the commit to say ""Pushed as commit <hash>"". If we do it this way, we can easily look for the ""Going to push"" comment, and if found, we can look for that hash in the target branch and know for sure if the push happened or not. If it happened, we just update the comment, labels and close the PR. If it didn't happen, we prepare to push again and update the comment with the newly prepared hash.;;;","2021-06-07 14:15;erikj;I now have a working solution. There is a new prepush comment declaring the intent of pushing the PR. This comment will however stay around as editing it would just complicate the the code too much. The reason for this is that the real push commit is also the official reply from the command, which the PullRequestCommandWorkItem uses to track which commands have been handled. The prepush comment cannot be considered an official reply. To make this new comment a bit more meaningful, I also moved the output of any rebasing here.

I've added two new tests to exercise the scenario of interrupted integrations.;;;","2021-06-09 13:50;roboduke;Changeset: 3091beec
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2021-06-09 20:50:23 +0000
URL:       https://git.openjdk.java.net/skara/commit/3091beece5098928a554ad4dc5226259869da233
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Backport] Bot finds original commit in wrong repository,SKARA-1068,5050997,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,sgehwolf,sgehwolf,2021-06-02 10:58,2021-07-16 00:04,2023-10-01 09:57,2021-07-16 00:04,,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"See these PRs:
https://github.com/openjdk/jdk11u-dev/pull/8
https://github.com/openjdk/jdk11u-dev/pull/9

The comments referring to the original commit ends up pointing to the AdoptOpenJDK/openjdk-jdk mirror over openjdk/jdk official repo. See:
https://github.com/openjdk/jdk11u-dev/pull/9#issuecomment-853233285 pointing to:
https://github.com/AdoptOpenJDK/openjdk-jdk/commit/3341d361316def749c155242e6bf7fcbcb968531

It should have pointed to:
https://github.com/openjdk/jdk/commit/3341d361316def749c155242e6bf7fcbcb968531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2t2oz:",9223372036854775807,,,,,,,,,,,,,"2021-07-15 06:54;erikj;There is no way we can really control which repository we will find the commit in (short of maintaining a priority list of repos). Skara uses the search facility of Github. I see that we do have support for limiting the search results to a specific set of organizations, and we currently aren't doing that. If we did, we could at least guarantee that it would be a repo in openjdk. ;;;","2021-07-15 07:05;sgehwolf;I think it makes sense to restrict to the 'openjdk' org. Otherwise you might be ending up with weird pull requests.;;;","2021-07-15 08:26;erikj;I agree, and I'm trying that feature out in our staging deployment with the openjdk/playground repo. Unfortunately the org filtering was broken so I have to fix the functionality too. While at it, I'm also experimenting with a simple sort on repository name length. It's pretty likely that the shortest name is the most relevant repo for a given project, and if it's not, it's probably not worse than the random repo we currently get.;;;","2021-07-16 00:04;roboduke;Changeset: e98965d4
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2021-07-16 07:03:40 +0000
URL:       https://git.openjdk.java.net/skara/commit/e98965d49dc3836ec99967aabd9f2e7848723c0b
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user Maran23,SKARA-1066,5050934,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,mhanl,mhanl,2021-06-01 23:49,2021-06-02 06:57,2023-10-01 09:57,2021-06-02 06:57,,,,,,,,,admin,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2t2az:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New prometheus labels have illegal characters,SKARA-1065,5050902,Bug,Resolved,SKARA,Skara,software,darcy,,,P2,Fixed,erikj,erikj,erikj,2021-06-01 12:21,2021-06-02 11:10,2023-10-01 09:57,2021-06-02 11:10,1.0,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"In one of the latest metrics additions, the label names were constructed as having '-' in them, which is not a valid character for prometheus labels. This needs to be replaced with '_'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2t23v:",9223372036854775807,,,,,,,,,,,,,"2021-06-02 11:10;roboduke;Changeset: 8998a077
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2021-06-02 18:10:09 +0000
URL:       https://git.openjdk.java.net/skara/commit/8998a0771cabff68290c2a3a481e8e1ba9178b4a
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add GitHub user RyanZhou97,SKARA-1060,5050448,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,yongzhou,yongzhou,2021-05-26 00:08,2021-05-26 05:59,2023-10-01 09:57,2021-05-26 05:59,,,,,,,,,admin,,0,,,,,,,,,,,,,,Please add mapping from RyanZhou97 GitHub user to yongzhou OpenJDK user.  Thank!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2szeb:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The mlbridge bot occasionally posts the same comments twice on Github,SKARA-1058,5050371,Bug,Resolved,SKARA,Skara,software,darcy,,,P4,Fixed,erikj,erikj,erikj,2021-05-25 08:57,2021-08-10 10:14,2023-10-01 09:57,2021-07-16 00:03,0.9,,,,,,,1.0,bots,,0,,,,,,,,,,,,,,"Posted on skara-dev:

Hi all,

When we send an email to reply to a RFR email, the bot will post a comment
on Github for us.
But sometimes the bot may post the same comments twice.
Please see this email[1]. We expect that the bot will post one comment to
the corresponding PR[2].
But actually, the bot posted two same comments[3][4].

It is an intermittent issue. Sometimes, the bot behaves correctly.
Even today, the bot can operate normally at one PR[5] but fails at another
PR[6][7].

Is it a known issue?
Anyway, it is good to fix it so that the redundant information won't be
generated.

[1]
https://mail.openjdk.java.net/pipermail/compiler-dev/2021-May/016981.html
[2] https://github.com/openjdk/jdk/pull/4157
[3] https://github.com/openjdk/jdk/pull/4157#issuecomment-846605316
[4] https://github.com/openjdk/jdk/pull/4157#issuecomment-846605322
[5] https://github.com/openjdk/jdk/pull/3976#issuecomment-847663710
[6] https://github.com/openjdk/jdk/pull/4167#issuecomment-847595516
[7] https://github.com/openjdk/jdk/pull/4167#issuecomment-847595538

Best Regards,
-- Guoxiong",,,,,,,,,,,,,,,,,,,,,,,,,SKARA-1129,,,,,,,,SKARA-1128,SKARA-1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2syx7:",9223372036854775807,,,,,,,,,,,,,"2021-05-25 08:58;erikj;We have had a lot of outages in recent days, so it's possible this is happening due to the bot application crashing. Even so, we should strive for handling it better.;;;","2021-05-25 21:57;dholmes;[~erikj] This has been happening for a while. I posted the following on our internal git/skara discussion channel on May 18:

2:25 PM
David Holmes The mail bot seems to be creating duplicate comments for mails from the mailing lists. See e.g.:
https://github.com/openjdk/jdk/pull/3991
I've seen this twice so far today.

---

but I can't say I've noticed it since.;;;","2021-06-10 18:44;dholmes;Just happened again:

https://github.com/openjdk/jdk/pull/4470;;;","2021-06-24 14:48;dholmes;https://github.com/openjdk/jdk/pull/4584
https://github.com/openjdk/jdk17/pull/130;;;","2021-06-29 14:33;dholmes;https://github.com/openjdk/jdk17/pull/159
https://github.com/openjdk/jdk17/pull/166;;;","2021-07-13 18:05;dholmes;https://github.com/openjdk/jdk/pull/4704;;;","2021-07-13 22:06;dholmes;https://github.com/openjdk/jdk/pull/4717;;;","2021-07-15 05:21;erikj;I started investigating this. Looking specifically at https://github.com/openjdk/jdk/pull/4717. It seems there are duplicate CommentPosterWorkItem instances running at the same time for the same PR.;;;","2021-07-15 05:58;erikj;This is supposed to be protected by a method ""concurrentWith(WorkItem other)"". In this particular case, the check is faulty. It checks if the PullRequest object in this WorkItem is equal to the object in the other WorkItem. This is default Object equality, and there is definitely no guarantee that they both contain the same exact object.

Looking around in other implementations of this method, there is mix of how stringent the checks are, some only check if the PullRequest.id() field is the same, but most also check something about the HostedRepository to which the PR belongs (either name or url). I think calculating the url seems a bit expensive for an equals check. 

I think this needs to be cleaned up. I propose a new method on the PullRequest interface: ""isSame(PullRequest other)"". This isn't trying to be an equals, as that's a bit hard to define here, but will just return true if both PullRequest instances are logically referring to the same hosted pull request. I will replace all uses of PullRequest.equals() and PullRequest.id().equals() with this new method for consistency.;;;","2021-07-16 00:03;roboduke;Changeset: fd42d900
Author:    Erik Joelsson <erikj@openjdk.org>
Date:      2021-07-16 07:03:02 +0000
URL:       https://git.openjdk.java.net/skara/commit/fd42d900459c2e1c9301ab341ad6f081cc0bf4b2
;;;",,,,,,,,,,,,,,,,,,,,,,,,
